symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
ABBV,2026-06-29,2026-07-10,135.0,C,118.2,121.2,119.7,168.3595,0.989739,0.000367,-0.105394,0.012034,11,254.31,3,3,
ABBV,2026-06-29,2026-07-10,155.0,C,98.2,101.35,99.775,139.0628,0.985232,0.000609,-0.119471,0.016496,11,254.31,0,2,
ABBV,2026-06-29,2026-07-10,185.0,C,67.45,71.35,69.4,74.4143,0.994399,0.000487,-0.042368,0.007062,11,254.31,0,5,
ABBV,2026-06-29,2026-07-10,195.0,C,58.3,61.25,59.775,81.2502,0.975065,0.001626,-0.114049,0.025746,11,254.31,0,1,
ABBV,2026-06-29,2026-07-10,200.0,C,52.8,56.25,54.525,65.5277,0.985315,0.001285,-0.068648,0.016417,11,254.31,3,8,
ABBV,2026-06-29,2026-07-10,205.0,C,47.8,51.25,49.525,59.6684,0.983958,0.001523,-0.068256,0.017712,11,254.31,1,17,
ABBV,2026-06-29,2026-07-10,210.0,C,43.3,46.25,44.775,61.8168,0.967697,0.002651,-0.110017,0.031935,11,254.31,1,1,
ABBV,2026-06-29,2026-07-10,215.0,C,38.15,41.1,39.625,51.563,0.973383,0.002706,-0.084677,0.027192,11,254.31,1,18,
ABBV,2026-06-29,2026-07-10,220.0,C,33.4,36.35,34.875,51.3188,0.953884,0.004267,-0.120485,0.042679,11,254.31,9,51,
ABBV,2026-06-29,2026-07-10,222.5,C,30.15,33.9,32.025,68.14,0.884574,0.006469,-0.285381,0.085918,11,254.31,1,4,
ABBV,2026-06-29,2026-07-10,225.0,C,28.1,31.4,29.75,64.1239,0.878121,0.007144,-0.279596,0.089285,11,254.31,3,437,
ABBV,2026-06-29,2026-07-10,227.5,C,25.9,28.95,27.425,60.5717,0.86919,0.007945,-0.277615,0.093795,11,254.31,1,8,
ABBV,2026-06-29,2026-07-10,230.0,C,23.15,26.5,24.825,56.9584,0.859212,0.008885,-0.274742,0.098639,11,254.31,6,342,
ABBV,2026-06-29,2026-07-10,232.5,C,21.15,24.05,22.6,53.2964,0.847872,0.010003,-0.271035,0.103905,11,254.31,2,11,
ABBV,2026-06-29,2026-07-10,235.0,C,18.55,20.55,19.55,39.9664,0.882751,0.011153,-0.178385,0.086879,11,254.31,31,616,
ABBV,2026-06-29,2026-07-10,237.5,C,16.6,19.45,18.025,48.0352,0.809235,0.012828,-0.28102,0.120099,11,254.31,17,156,
ABBV,2026-06-29,2026-07-10,240.0,C,14.15,16.4,15.275,39.4659,0.81481,0.01533,-0.230776,0.11792,11,254.31,12,1325,
ABBV,2026-06-29,2026-07-10,242.5,C,11.7,14.9,13.3,42.1759,0.758418,0.016756,-0.282003,0.137737,11,254.31,4,239,
ABBV,2026-06-29,2026-07-10,245.0,C,9.7,12.4,11.05,37.3786,0.733784,0.019895,-0.263828,0.144941,11,254.31,92,225,
ABBV,2026-06-29,2026-07-10,247.5,C,7.6,10.45,9.025,35.7306,0.68669,0.022468,-0.270686,0.15647,11,254.31,24,66,
ABBV,2026-06-29,2026-07-10,250.0,C,6.05,8.7,7.375,34.6076,0.630437,0.024703,-0.277411,0.166626,11,254.31,56,380,
ABBV,2026-06-29,2026-07-10,252.5,C,4.65,6.15,5.4,28.3454,0.576245,0.031296,-0.23693,0.1729,11,254.31,36,23,
ABBV,2026-06-29,2026-07-10,255.0,C,4.05,4.8,4.425,27.8938,0.496473,0.032395,-0.235555,0.176119,11,254.31,98,44,
ABBV,2026-06-29,2026-07-10,257.5,C,3.05,3.65,3.35,27.4788,0.415188,0.032139,-0.225285,0.172131,11,254.31,22,3,
ABBV,2026-06-29,2026-07-10,260.0,C,2.15,2.67,2.41,26.9294,0.334972,0.030642,-0.2052,0.160833,11,254.31,79,38,
ABBV,2026-06-29,2026-07-10,265.0,C,0.65,1.35,1.0,26.4656,0.197912,0.02381,-0.152697,0.122819,11,254.31,444,31,
ABBV,2026-06-29,2026-07-10,270.0,C,0.0,1.0,0.5,30.2253,0.137066,0.016441,-0.136491,0.096856,11,254.31,50,15,
ABBV,2026-06-29,2026-07-10,275.0,C,0.0,0.6,0.3,31.5925,0.084022,0.01106,-0.099901,0.068105,11,254.31,161,16,
ABBV,2026-06-29,2026-07-10,280.0,C,0.0,0.9,0.45,40.8453,0.095758,0.009428,-0.141727,0.075057,11,254.31,89,145,
ABBV,2026-06-29,2026-07-10,300.0,C,0.0,2.13,1.065,63.3304,0.075243,0.005075,-0.182182,0.062649,11,254.31,0,5,
ABBV,2026-06-29,2026-07-10,130.0,P,0.0,0.15,0.075,143.7503,-0.002415,0.000119,-0.021633,0.003321,11,254.31,0,2,
ABBV,2026-06-29,2026-07-10,135.0,P,0.0,0.15,0.075,136.3284,-0.002564,0.000132,-0.021654,0.003506,11,254.31,0,1,
