symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
AMZN,2026-07-03,2026-07-10,140.0,C,100.65,104.5,102.575,243.9457,0.964008,0.000964,-0.475994,0.026569,7,242.67,9,11,
AMZN,2026-07-03,2026-07-10,150.0,C,91.1,94.5,92.8,139.2581,0.995264,0.000294,-0.060971,0.00463,7,242.67,6,6,
AMZN,2026-07-03,2026-07-10,155.0,C,85.85,89.5,87.675,93.7501,0.999787,2.6e-05,-0.01735,0.00027,7,242.67,1,7,
AMZN,2026-07-03,2026-07-10,160.0,C,81.1,84.5,82.8,122.266,0.994596,0.000377,-0.061386,0.005208,7,242.67,4,11,
AMZN,2026-07-03,2026-07-10,165.0,C,75.6,79.5,77.55,181.9825,0.951489,0.001646,-0.455018,0.033833,7,242.67,1,6,
AMZN,2026-07-03,2026-07-10,170.0,C,70.9,74.5,72.7,89.4532,0.998362,0.000176,-0.02836,0.001777,7,242.67,1,25,
AMZN,2026-07-03,2026-07-10,175.0,C,65.95,69.55,67.75,92.5782,0.995597,0.000415,-0.046126,0.004338,7,242.67,9,16,
AMZN,2026-07-03,2026-07-10,180.0,C,61.8,64.55,63.175,112.5493,0.977204,0.00143,-0.163577,0.018175,7,242.67,74,5,
AMZN,2026-07-03,2026-07-10,185.0,C,56.85,59.55,58.2,104.688,0.974351,0.001697,-0.167948,0.020067,7,242.67,52,7,
AMZN,2026-07-03,2026-07-10,190.0,C,51.9,54.55,53.225,96.875,0.971029,0.00203,-0.17202,0.022213,7,242.67,6,6,
AMZN,2026-07-03,2026-07-10,195.0,C,46.9,48.25,47.575,89.0626,0.967157,0.00245,-0.17549,0.024644,7,242.67,18,3,
AMZN,2026-07-03,2026-07-10,200.0,C,42.1,43.25,42.675,80.5666,0.963701,0.00294,-0.1731,0.026755,7,242.67,10,42,
AMZN,2026-07-03,2026-07-10,205.0,C,36.95,38.25,37.6,72.1194,0.959596,0.003585,-0.169939,0.029197,7,242.67,4,57,
AMZN,2026-07-03,2026-07-10,207.5,C,34.7,35.75,35.225,67.9202,0.957202,0.003988,-0.168136,0.030591,7,242.67,30,30,
AMZN,2026-07-03,2026-07-10,210.0,C,32.2,33.3,32.75,64.9418,0.951599,0.004605,-0.176493,0.033772,7,242.67,14,464,
AMZN,2026-07-03,2026-07-10,215.0,C,27.25,28.35,27.8,57.52,0.941615,0.006032,-0.181083,0.039185,7,242.67,46,88,
AMZN,2026-07-03,2026-07-10,217.5,C,24.8,25.85,25.325,53.2231,0.937247,0.006898,-0.177852,0.041461,7,242.67,17,56,
AMZN,2026-07-03,2026-07-10,220.0,C,22.35,23.45,22.9,50.7329,0.925217,0.008284,-0.192191,0.047466,7,242.67,960,792,
AMZN,2026-07-03,2026-07-10,222.5,C,20.0,21.0,20.5,47.1197,0.915156,0.009813,-0.195947,0.052222,7,242.67,21,755,
AMZN,2026-07-03,2026-07-10,225.0,C,17.7,18.65,18.175,44.7759,0.896447,0.011963,-0.21345,0.060496,7,242.67,481,356,
AMZN,2026-07-03,2026-07-10,227.5,C,15.4,16.35,15.875,42.6031,0.871924,0.014624,-0.233716,0.070361,7,242.67,108,220,
AMZN,2026-07-03,2026-07-10,230.0,C,12.8,14.1,13.45,40.4303,0.840926,0.01784,-0.254314,0.081458,7,242.67,298,992,
AMZN,2026-07-03,2026-07-10,232.5,C,11.15,11.95,11.55,38.5748,0.799905,0.021602,-0.277603,0.094111,7,242.67,24,774,
AMZN,2026-07-03,2026-07-10,235.0,C,9.4,10.0,9.7,37.6227,0.744076,0.025445,-0.30768,0.108117,7,242.67,426,1514,
AMZN,2026-07-03,2026-07-10,237.5,C,7.5,8.1,7.8,35.9992,0.681173,0.029514,-0.324345,0.119994,7,242.67,120,685,
AMZN,2026-07-03,2026-07-10,240.0,C,5.8,6.4,6.1,34.7419,0.605885,0.032959,-0.335047,0.129319,7,242.67,1100,3067,
AMZN,2026-07-03,2026-07-10,242.5,C,4.6,4.95,4.775,33.9606,0.521275,0.034906,-0.336978,0.133878,7,242.67,1363,3589,
AMZN,2026-07-03,2026-07-10,245.0,C,3.5,3.65,3.575,32.801,0.431645,0.035659,-0.31966,0.132096,7,242.67,5793,7286,
AMZN,2026-07-03,2026-07-10,247.5,C,2.6,2.72,2.66,32.8132,0.346228,0.033456,-0.29877,0.123982,7,242.67,4827,3045,
AMZN,2026-07-03,2026-07-10,250.0,C,1.9,2.0,1.95,33.0085,0.270012,0.029808,-0.268388,0.11112,7,242.67,8730,9869,
AMZN,2026-07-03,2026-07-10,252.5,C,1.31,1.46,1.385,33.3747,0.20587,0.025396,-0.233083,0.095724,7,242.67,5575,5971,
AMZN,2026-07-03,2026-07-10,255.0,C,0.96,1.11,1.035,34.4001,0.158224,0.020893,-0.203211,0.081172,7,242.67,3733,7578,
AMZN,2026-07-03,2026-07-10,257.5,C,0.68,0.76,0.72,34.3024,0.113111,0.01664,-0.160644,0.064465,7,242.67,1181,1211,
AMZN,2026-07-03,2026-07-10,260.0,C,0.5,0.54,0.52,34.7663,0.081652,0.012922,-0.127944,0.050738,7,242.67,3413,4888,
AMZN,2026-07-03,2026-07-10,262.5,C,0.34,0.44,0.39,36.4264,0.064512,0.010297,-0.111758,0.042362,7,242.67,655,660,
AMZN,2026-07-03,2026-07-10,265.0,C,0.24,0.33,0.285,37.3053,0.048009,0.007964,-0.090552,0.033553,7,242.67,1229,2792,
AMZN,2026-07-03,2026-07-10,267.5,C,0.16,0.24,0.2,37.9401,0.034803,0.006032,-0.070877,0.025848,7,242.67,669,277,
AMZN,2026-07-03,2026-07-10,270.0,C,0.13,0.16,0.145,37.9889,0.023357,0.004324,-0.050896,0.018551,7,242.67,566,4102,
AMZN,2026-07-03,2026-07-10,275.0,C,0.09,0.1,0.095,40.235,0.013757,0.0026,-0.034279,0.011813,7,242.67,142,1684,
AMZN,2026-07-03,2026-07-10,280.0,C,0.06,0.07,0.065,42.9693,0.009063,0.001694,-0.025442,0.008219,7,242.67,80,2110,
AMZN,2026-07-03,2026-07-10,285.0,C,0.04,0.06,0.05,46.4849,0.007053,0.001256,-0.022057,0.006592,7,242.67,254,1420,
AMZN,2026-07-03,2026-07-10,290.0,C,0.03,0.05,0.04,49.8052,0.005564,0.00095,-0.019144,0.005344,7,242.67,73,1313,
AMZN,2026-07-03,2026-07-10,295.0,C,0.01,0.08,0.045,53.1255,0.004555,0.000745,-0.017078,0.004472,7,242.67,5,394,
AMZN,2026-07-03,2026-07-10,300.0,C,0.03,0.04,0.035,55.4692,0.003331,0.000539,-0.013464,0.003378,7,242.67,14,6764,
AMZN,2026-07-03,2026-07-10,305.0,C,0.01,0.06,0.035,59.3754,0.003161,0.000481,-0.013744,0.003223,7,242.67,1,47,
AMZN,2026-07-03,2026-07-10,310.0,C,0.01,0.04,0.025,60.9379,0.002178,0.000335,-0.010073,0.002302,7,242.67,1,139,
AMZN,2026-07-03,2026-07-10,315.0,C,0.01,0.02,0.015,61.7191,0.001345,0.000213,-0.006575,0.001484,7,242.67,313,21,
AMZN,2026-07-03,2026-07-10,320.0,C,0.0,0.02,0.01,62.5004,0.000832,0.000135,-0.004285,0.000955,7,242.67,393,54,
AMZN,2026-07-03,2026-07-10,325.0,C,0.0,0.01,0.005,62.5004,0.000444,7.6e-05,-0.0024,0.000535,7,242.67,501,576,
AMZN,2026-07-03,2026-07-10,330.0,C,0.0,0.01,0.005,65.6253,0.000436,7.1e-05,-0.002474,0.000526,7,242.67,4,59,
AMZN,2026-07-03,2026-07-10,335.0,C,0.0,0.16,0.08,87.8907,0.004906,0.000481,-0.030109,0.004778,7,242.67,5,306,
AMZN,2026-07-03,2026-07-10,340.0,C,0.0,0.36,0.18,101.1724,0.009852,0.000774,-0.064117,0.008841,7,242.67,30,65,
AMZN,2026-07-03,2026-07-10,345.0,C,0.0,0.2,0.1,97.2657,0.00555,0.000485,-0.037177,0.005332,7,242.67,2,62,
