symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
AVGO,2026-07-09,2026-07-17,155.0,C,244.6,248.2,246.4,255.0785,0.996623,6.7e-05,-0.111816,0.006043,8,401.11,12,40,44.93
AVGO,2026-07-09,2026-07-17,170.0,C,229.55,232.65,231.1,297.1194,0.985122,0.000213,-0.431118,0.022331,8,401.11,1,11,44.93
AVGO,2026-07-09,2026-07-17,175.0,C,224.9,228.3,226.6,240.6254,0.993942,0.00012,-0.170511,0.010183,8,401.11,1,14,44.93
AVGO,2026-07-09,2026-07-17,180.0,C,219.7,223.25,221.475,224.0239,0.99512,0.000106,-0.135571,0.008403,8,401.11,11,12,44.93
AVGO,2026-07-09,2026-07-17,185.0,C,214.9,217.9,216.4,210.5473,0.995869,9.8e-05,-0.113754,0.007241,8,401.11,1,13,44.93
AVGO,2026-07-09,2026-07-17,190.0,C,209.75,213.35,211.55,215.4301,0.993874,0.000135,-0.157344,0.010284,8,401.11,10,43,44.93
AVGO,2026-07-09,2026-07-17,195.0,C,204.85,208.35,206.6,211.7192,0.993059,0.000154,-0.171326,0.011486,8,401.11,41,53,44.93
AVGO,2026-07-09,2026-07-17,200.0,C,200.0,203.35,201.675,209.1802,0.991906,0.000178,-0.191731,0.013151,8,401.11,3,81,44.93
AVGO,2026-07-09,2026-07-17,210.0,C,189.9,192.45,191.175,150.7815,0.998712,4.7e-05,-0.044876,0.002522,8,401.11,61,368,44.93
AVGO,2026-07-09,2026-07-17,220.0,C,179.95,182.5,181.225,149.219,0.997693,8.1e-05,-0.062038,0.004285,8,401.11,2,173,44.93
AVGO,2026-07-09,2026-07-17,230.0,C,169.95,173.25,171.6,167.2853,0.991171,0.000241,-0.171183,0.014193,8,401.11,2,110,44.93
AVGO,2026-07-09,2026-07-17,240.0,C,159.95,163.15,161.55,153.4182,0.991305,0.000259,-0.158092,0.014004,8,401.11,4,243,44.93
AVGO,2026-07-09,2026-07-17,250.0,C,150.0,153.4,151.7,148.926,0.988033,0.000352,-0.196897,0.018503,8,401.11,1,265,44.93
AVGO,2026-07-09,2026-07-17,260.0,C,140.0,143.0,141.5,129.5902,0.990861,0.00032,-0.144295,0.014629,8,401.11,1,209,44.93
