symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
GOOGL,2026-07-31,2026-08-07,105.0,C,249.45,253.2,251.325,332.0314,0.998059,3.8e-05,-0.082674,0.003043,7,356.13,0,3,63.65
GOOGL,2026-07-31,2026-08-07,140.0,C,214.35,218.25,216.3,253.1254,0.99775,5.7e-05,-0.076941,0.00348,7,356.13,47,47,63.65
GOOGL,2026-07-31,2026-08-07,160.0,C,194.4,198.25,196.325,222.6567,0.997032,8.3e-05,-0.087075,0.004468,7,356.13,0,1,63.65
GOOGL,2026-07-31,2026-08-07,195.0,C,159.45,163.3,161.375,176.3673,0.995215,0.00016,-0.105858,0.006857,7,356.13,2,0,63.65
GOOGL,2026-07-31,2026-08-07,200.0,C,154.5,158.35,156.425,173.7306,0.994156,0.000194,-0.121596,0.008192,7,356.13,1,1,63.65
GOOGL,2026-07-31,2026-08-07,205.0,C,149.45,153.35,151.4,165.0392,0.994358,0.000198,-0.114045,0.00794,7,356.13,1,1,63.65
GOOGL,2026-07-31,2026-08-07,210.0,C,144.45,148.3,146.375,156.4455,0.994607,0.0002,-0.106209,0.007629,7,356.13,5,3,63.65
GOOGL,2026-07-31,2026-08-07,220.0,C,134.55,138.3,136.425,147.6565,0.993077,0.000265,-0.122286,0.009517,7,356.13,0,1,63.65
GOOGL,2026-07-31,2026-08-07,225.0,C,129.4,133.3,131.35,135.9378,0.994412,0.000238,-0.098915,0.007873,7,356.13,2,6,63.65
GOOGL,2026-07-31,2026-08-07,230.0,C,124.55,128.35,126.45,136.9144,0.991902,0.000328,-0.129739,0.010927,7,356.13,4,4,63.65
GOOGL,2026-07-31,2026-08-07,235.0,C,119.45,123.35,121.4,127.8324,0.992672,0.000322,-0.114781,0.010007,7,356.13,1,2,63.65
GOOGL,2026-07-31,2026-08-07,240.0,C,114.35,118.35,116.35,118.7504,0.993547,0.00031,-0.099811,0.008944,7,356.13,2,12,63.65
GOOGL,2026-07-31,2026-08-07,260.0,C,94.5,98.35,96.425,101.1724,0.989846,0.000541,-0.122094,0.013321,7,356.13,1,3,63.65
GOOGL,2026-07-31,2026-08-07,265.0,C,89.5,93.35,91.425,95.8008,0.989261,0.0006,-0.122021,0.013987,7,356.13,70,17,63.65
GOOGL,2026-07-31,2026-08-07,270.0,C,84.5,88.3,86.4,89.3556,0.989418,0.000635,-0.114957,0.013809,7,356.13,20,24,63.65
GOOGL,2026-07-31,2026-08-07,275.0,C,79.5,83.45,81.475,87.4025,0.986175,0.000819,-0.135894,0.01741,7,356.13,1,25,63.65
GOOGL,2026-07-31,2026-08-07,280.0,C,74.55,78.4,76.475,82.1291,0.985285,0.00092,-0.135451,0.018372,7,356.13,5,50,63.65
GOOGL,2026-07-31,2026-08-07,285.0,C,70.1,73.4,71.75,85.1076,0.974728,0.001405,-0.2046,0.029087,7,356.13,1,105,63.65
GOOGL,2026-07-31,2026-08-07,290.0,C,64.8,68.4,66.6,75.5862,0.978385,0.001387,-0.166111,0.025502,7,356.13,13,52,63.65
GOOGL,2026-07-31,2026-08-07,295.0,C,59.95,63.45,61.7,72.8518,0.972826,0.001744,-0.189548,0.030906,7,356.13,2,39,63.65
GOOGL,2026-07-31,2026-08-07,300.0,C,54.75,58.45,56.6,64.9906,0.974915,0.001829,-0.1635,0.028907,7,356.13,4,86,63.65
GOOGL,2026-07-31,2026-08-07,305.0,C,50.05,53.4,51.725,62.5492,0.967166,0.002377,-0.191072,0.036158,7,356.13,1,26,63.65
GOOGL,2026-07-31,2026-08-07,310.0,C,45.25,48.45,46.85,59.4731,0.958548,0.003024,-0.21555,0.043747,7,356.13,5,137,63.65
GOOGL,2026-07-31,2026-08-07,315.0,C,40.15,43.5,41.825,53.5161,0.95567,0.003548,-0.206663,0.046186,7,356.13,5,152,63.65
GOOGL,2026-07-31,2026-08-07,320.0,C,35.3,37.55,36.425,57.3491,0.918576,0.005327,-0.333599,0.074304,7,356.13,214,516,63.65
GOOGL,2026-07-31,2026-08-07,322.5,C,33.45,35.7,34.575,60.6693,0.890844,0.00625,-0.428084,0.092225,7,356.13,119,111,63.65
GOOGL,2026-07-31,2026-08-07,325.0,C,30.45,32.55,31.5,51.1235,0.909448,0.00647,-0.32319,0.080454,7,356.13,148,445,63.65
GOOGL,2026-07-31,2026-08-07,327.5,C,27.65,31.2,29.425,58.1059,0.862257,0.007681,-0.478441,0.108564,7,356.13,62,278,63.65
GOOGL,2026-07-31,2026-08-07,330.0,C,25.75,27.7,26.725,46.2408,0.89122,0.008179,-0.333091,0.091997,7,356.13,408,1032,63.65
GOOGL,2026-07-31,2026-08-07,332.5,C,23.35,25.85,24.6,48.377,0.857427,0.009445,-0.412242,0.111135,7,356.13,111,329,63.65
GOOGL,2026-07-31,2026-08-07,335.0,C,21.25,22.8,22.025,40.5768,0.870584,0.010538,-0.330433,0.104007,7,356.13,475,918,63.65
GOOGL,2026-07-31,2026-08-07,337.5,C,19.1,20.65,19.875,39.8932,0.844463,0.012139,-0.36391,0.117789,7,356.13,307,434,63.65
GOOGL,2026-07-31,2026-08-07,340.0,C,16.85,18.4,17.625,38.0988,0.820758,0.013928,-0.378888,0.129069,7,356.13,1171,3344,63.65
GOOGL,2026-07-31,2026-08-07,342.5,C,14.85,17.0,15.925,41.2237,0.765616,0.015093,-0.471436,0.151337,7,356.13,1825,1739,63.65
GOOGL,2026-07-31,2026-08-07,345.0,C,13.3,14.35,13.825,36.2677,0.749002,0.017804,-0.432341,0.157054,7,356.13,1737,862,63.65
GOOGL,2026-07-31,2026-08-07,347.5,C,11.45,12.45,11.95,35.34,0.705451,0.019782,-0.453359,0.170046,7,356.13,4710,3914,63.65
GOOGL,2026-07-31,2026-08-07,350.0,C,9.9,10.6,10.25,34.1437,0.657547,0.021819,-0.464507,0.181204,7,356.13,4108,3330,63.65
GOOGL,2026-07-31,2026-08-07,352.5,C,8.15,8.95,8.55,33.3869,0.602559,0.023423,-0.474395,0.190215,7,356.13,3074,1777,63.65
GOOGL,2026-07-31,2026-08-07,355.0,C,6.4,7.6,7.0,33.4357,0.54262,0.024055,-0.485974,0.195629,7,356.13,9215,853,63.65
GOOGL,2026-07-31,2026-08-07,357.5,C,5.75,6.2,5.975,32.569,0.481289,0.024809,-0.473912,0.196536,7,356.13,2433,4115,63.65
GOOGL,2026-07-31,2026-08-07,360.0,C,4.55,5.1,4.825,32.447,0.419821,0.024425,-0.461363,0.192766,7,356.13,8088,2324,63.65
GOOGL,2026-07-31,2026-08-07,362.5,C,3.8,4.2,4.0,32.6301,0.361627,0.023284,-0.443308,0.184796,7,356.13,2710,373,63.65
GOOGL,2026-07-31,2026-08-07,365.0,C,3.05,3.3,3.175,32.1174,0.303275,0.022058,-0.405905,0.172317,7,356.13,3403,2011,63.65
GOOGL,2026-07-31,2026-08-07,367.5,C,2.46,2.73,2.595,32.7277,0.256179,0.019942,-0.380065,0.158749,7,356.13,3910,392,63.65
GOOGL,2026-07-31,2026-08-07,370.0,C,1.93,2.1,2.015,32.3615,0.207716,0.017941,-0.333722,0.141224,7,356.13,3469,911,63.65
GOOGL,2026-07-31,2026-08-07,375.0,C,1.19,1.27,1.23,32.4836,0.1336,0.013456,-0.251373,0.106316,7,356.13,2304,832,63.65
GOOGL,2026-07-31,2026-08-07,380.0,C,0.7,0.8,0.75,33.3259,0.08576,0.009531,-0.186922,0.077258,7,356.13,3758,1857,63.65
GOOGL,2026-07-31,2026-08-07,385.0,C,0.42,0.47,0.445,33.7165,0.051454,0.006346,-0.12714,0.052039,7,356.13,703,568,63.65
GOOGL,2026-07-31,2026-08-07,390.0,C,0.24,0.33,0.285,35.401,0.034821,0.004407,-0.097185,0.037948,7,356.13,362,430,63.65
GOOGL,2026-07-31,2026-08-07,395.0,C,0.1,0.19,0.145,35.7917,0.020138,0.002759,-0.062116,0.024019,7,356.13,248,312,63.65
GOOGL,2026-07-31,2026-08-07,400.0,C,0.09,0.14,0.115,37.5983,0.014208,0.001949,-0.048372,0.017825,7,356.13,2065,1520,63.65
GOOGL,2026-07-31,2026-08-07,405.0,C,0.05,0.08,0.065,37.8912,0.007957,0.001167,-0.029401,0.010759,7,356.13,476,614,63.65
GOOGL,2026-07-31,2026-08-07,410.0,C,0.01,0.07,0.04,40.3326,0.006544,0.000923,-0.026319,0.009056,7,356.13,356,240,63.65
GOOGL,2026-07-31,2026-08-07,415.0,C,0.02,0.05,0.035,41.6021,0.004471,0.000638,-0.019336,0.006454,7,356.13,92,1624,63.65
GOOGL,2026-07-31,2026-08-07,420.0,C,0.01,0.05,0.03,44.5318,0.004237,0.000568,-0.019716,0.006151,7,356.13,14,1055,63.65
GOOGL,2026-07-31,2026-08-07,425.0,C,0.01,0.06,0.035,48.2427,0.00463,0.000568,-0.02311,0.006659,7,356.13,4,248,63.65
GOOGL,2026-07-31,2026-08-07,430.0,C,0.01,0.16,0.085,53.1255,0.005941,0.000643,-0.031751,0.008312,7,356.13,4,98,63.65
GOOGL,2026-07-31,2026-08-07,435.0,C,0.01,0.06,0.035,50.7817,0.00256,0.000317,-0.014272,0.00391,7,356.13,5,77,63.65
GOOGL,2026-07-31,2026-08-07,440.0,C,0.01,0.1,0.055,55.8598,0.003616,0.000393,-0.021422,0.005337,7,356.13,4,349,63.65
GOOGL,2026-07-31,2026-08-07,445.0,C,0.0,0.03,0.015,51.563,0.001055,0.000139,-0.006462,0.001744,7,356.13,16,799,63.65
GOOGL,2026-07-31,2026-08-07,450.0,C,0.0,0.01,0.005,51.563,0.000617,8.5e-05,-0.003945,0.001065,7,356.13,1,159,63.65
GOOGL,2026-07-31,2026-08-07,455.0,C,0.0,0.01,0.005,51.563,0.000355,5.1e-05,-0.002364,0.000638,7,356.13,11,15,63.65
GOOGL,2026-07-31,2026-08-07,460.0,C,0.0,0.01,0.005,53.1255,0.000299,4.2e-05,-0.002076,0.000544,7,356.13,30,57,63.65
GOOGL,2026-07-31,2026-08-07,465.0,C,0.0,2.13,1.065,104.1509,0.038167,0.001615,-0.305621,0.040907,7,356.13,37,57,63.65
GOOGL,2026-07-31,2026-08-07,470.0,C,0.0,0.01,0.005,57.8129,0.000317,4.1e-05,-0.002384,0.000575,7,356.13,80,128,63.65
GOOGL,2026-07-31,2026-08-07,475.0,C,0.0,2.13,1.065,110.645,0.036051,0.001451,-0.309797,0.039044,7,356.13,1,110,63.65
GOOGL,2026-07-31,2026-08-07,480.0,C,0.0,0.01,0.005,60.9379,0.000245,3e-05,-0.001973,0.000451,7,356.13,1,41,63.65
GOOGL,2026-07-31,2026-08-07,485.0,C,0.0,0.08,0.04,75.3909,0.00187,0.00016,-0.015908,0.002942,7,356.13,1,4,63.65
GOOGL,2026-07-31,2026-08-07,490.0,C,0.0,0.01,0.005,65.6253,0.000272,3.1e-05,-0.002344,0.000498,7,356.13,8,9,63.65
GOOGL,2026-07-31,2026-08-07,495.0,C,0.0,0.08,0.04,80.0783,0.001823,0.000148,-0.016504,0.002874,7,356.13,2,17,63.65
GOOGL,2026-07-31,2026-08-07,500.0,C,0.0,0.01,0.005,68.7503,0.000225,2.5e-05,-0.002057,0.000417,7,356.13,15,15,63.65
GOOGL,2026-07-31,2026-08-07,505.0,C,0.0,0.08,0.04,84.3752,0.001725,0.000133,-0.01653,0.002733,7,356.13,6,6,63.65
GOOGL,2026-07-31,2026-08-07,510.0,C,0.0,2.13,1.065,131.7386,0.030511,0.001062,-0.32125,0.034031,7,356.13,2,6,63.65
GOOGL,2026-07-31,2026-08-07,515.0,C,0.0,0.08,0.04,88.2814,0.001587,0.000118,-0.016035,0.002534,7,356.13,35,11,63.65
GOOGL,2026-07-31,2026-08-07,520.0,C,0.0,0.08,0.04,90.6251,0.0016,0.000116,-0.016582,0.002553,7,356.13,2,43,63.65
GOOGL,2026-07-31,2026-08-07,525.0,C,0.0,0.08,0.04,92.5782,0.00155,0.00011,-0.016456,0.00248,7,356.13,2,52,63.65
GOOGL,2026-07-31,2026-08-07,530.0,C,0.0,0.07,0.035,93.3594,0.001328,9.5e-05,-0.014403,0.002153,7,356.13,100,211,63.65
GOOGL,2026-07-31,2026-08-07,535.0,C,0.0,0.08,0.04,96.4844,0.001471,0.000101,-0.016344,0.002364,7,356.13,1,7,63.65
GOOGL,2026-07-31,2026-08-07,540.0,C,0.0,0.08,0.04,98.4375,0.00144,9.7e-05,-0.016352,0.002318,7,356.13,0,2,63.65
GOOGL,2026-07-31,2026-08-07,545.0,C,0.0,0.08,0.04,100.3911,0.001414,9.3e-05,-0.016398,0.00228,7,356.13,1,20,63.65
GOOGL,2026-07-31,2026-08-07,550.0,C,0.0,0.01,0.005,87.5001,0.000216,1.9e-05,-0.002512,0.000401,7,356.13,1,3,63.65
GOOGL,2026-07-31,2026-08-07,100.0,P,0.0,0.01,0.005,250.0004,-6.1e-05,2e-06,-0.002173,0.000122,7,356.13,20,13,63.65
GOOGL,2026-07-31,2026-08-07,105.0,P,0.0,0.01,0.005,237.5004,-5.2e-05,2e-06,-0.001795,0.000106,7,356.13,4,13,63.65
