symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
HD,2026-08-05,2026-08-14,225.0,C,127.5,130.6,129.05,148.6819,0.979885,0.00059,-0.245008,0.02698,9,353.14,0,1,65.9
HD,2026-08-05,2026-08-14,230.0,C,122.45,125.6,124.025,141.6995,0.979446,0.000631,-0.238955,0.027478,9,353.14,6,2,65.9
HD,2026-08-05,2026-08-14,235.0,C,117.45,120.6,119.025,135.5472,0.978527,0.000684,-0.237848,0.028515,9,353.14,10,4,65.9
HD,2026-08-05,2026-08-14,280.0,C,72.75,75.5,74.125,86.3283,0.962994,0.00169,-0.242237,0.044849,9,353.14,1,1,65.9
HD,2026-08-05,2026-08-14,285.0,C,67.8,70.7,69.25,83.008,0.957001,0.001985,-0.261085,0.050669,9,353.14,2,11,65.9
HD,2026-08-05,2026-08-14,290.0,C,62.75,65.7,64.225,77.1487,0.954884,0.00222,-0.253606,0.05267,9,353.14,1,15,65.9
HD,2026-08-05,2026-08-14,305.0,C,47.9,50.8,49.35,62.6224,0.939292,0.003462,-0.260745,0.066666,9,353.14,1,6,65.9
HD,2026-08-05,2026-08-14,310.0,C,43.0,45.85,44.425,58.0815,0.93113,0.004117,-0.266278,0.073528,9,353.14,1,1,65.9
HD,2026-08-05,2026-08-14,315.0,C,38.0,40.9,39.45,52.8569,0.923582,0.004899,-0.263074,0.079624,9,353.14,2,9,65.9
HD,2026-08-05,2026-08-14,320.0,C,33.15,36.05,34.6,60.6449,0.862598,0.006535,-0.437991,0.12186,9,353.14,1,15,65.9
HD,2026-08-05,2026-08-14,325.0,C,28.3,31.25,29.775,55.5546,0.842802,0.007807,-0.438826,0.133368,9,353.14,1,25,65.9
HD,2026-08-05,2026-08-14,330.0,C,23.6,26.75,25.175,52.0024,0.811119,0.009376,-0.459683,0.149933,9,353.14,5,42,65.9
HD,2026-08-05,2026-08-14,332.5,C,21.25,24.35,22.8,49.1094,0.797138,0.010368,-0.453444,0.156574,9,353.14,4,36,65.9
HD,2026-08-05,2026-08-14,335.0,C,19.05,21.0,20.025,40.6378,0.808585,0.012097,-0.368289,0.151166,9,353.14,4,16,65.9
HD,2026-08-05,2026-08-14,337.5,C,16.8,20.15,18.475,46.2164,0.74957,0.012411,-0.47784,0.176376,9,353.14,21,14,65.9
HD,2026-08-05,2026-08-14,340.0,C,14.8,17.9,16.35,43.6407,0.726082,0.013761,-0.472094,0.18467,9,353.14,20,126,65.9
HD,2026-08-05,2026-08-14,342.5,C,13.1,15.9,14.5,42.0782,0.694956,0.015013,-0.477544,0.194251,9,353.14,7,50,65.9
HD,2026-08-05,2026-08-14,345.0,C,11.2,14.05,12.625,40.9002,0.65892,0.016175,-0.48458,0.20343,9,353.14,9,243,65.9
HD,2026-08-05,2026-08-14,347.5,C,9.65,12.15,10.9,39.1364,0.620827,0.017533,-0.479922,0.210998,9,353.14,1,26,65.9
HD,2026-08-05,2026-08-14,350.0,C,7.85,9.7,8.775,34.6015,0.582562,0.020345,-0.436149,0.216469,9,353.14,32,193,65.9
HD,2026-08-05,2026-08-14,352.5,C,6.25,8.8,7.525,36.3837,0.530447,0.019716,-0.464107,0.220579,9,353.14,21,576,65.9
HD,2026-08-05,2026-08-14,355.0,C,4.85,7.0,5.925,33.7714,0.47798,0.02127,-0.430963,0.220887,9,353.14,19,705,65.9
HD,2026-08-05,2026-08-14,357.5,C,3.9,6.25,5.075,35.1569,0.429349,0.020142,-0.440156,0.217746,9,353.14,7,18,65.9
HD,2026-08-05,2026-08-14,360.0,C,3.85,4.05,3.95,29.5112,0.354878,0.022747,-0.350827,0.20642,9,353.14,181,713,65.9
HD,2026-08-05,2026-08-14,365.0,C,1.76,2.99,2.375,31.507,0.266193,0.01879,-0.327962,0.182046,9,353.14,9,468,65.9
HD,2026-08-05,2026-08-14,370.0,C,1.0,1.79,1.395,30.7258,0.177878,0.015286,-0.25278,0.144426,9,353.14,17,550,65.9
HD,2026-08-05,2026-08-14,372.5,C,0.34,2.1,1.22,35.4499,0.180236,0.013359,-0.293108,0.145627,9,353.14,5,1,65.9
HD,2026-08-05,2026-08-14,375.0,C,0.61,1.15,0.88,31.3117,0.11934,0.011476,-0.196413,0.110497,9,353.14,22,290,65.9
HD,2026-08-05,2026-08-14,380.0,C,0.16,1.18,0.67,36.2555,0.106926,0.009164,-0.209533,0.102166,9,353.14,53,221,65.9
HD,2026-08-05,2026-08-14,385.0,C,0.0,0.55,0.275,33.8386,0.056851,0.006085,-0.121037,0.063318,9,353.14,17,87,65.9
HD,2026-08-05,2026-08-14,390.0,C,0.05,0.79,0.42,40.8453,0.066607,0.005705,-0.164931,0.071654,9,353.14,1,102,65.9
HD,2026-08-05,2026-08-14,395.0,C,0.01,0.56,0.285,41.6021,0.047652,0.004302,-0.128869,0.055035,9,353.14,4,39,65.9
HD,2026-08-05,2026-08-14,400.0,C,0.01,0.2,0.105,37.6959,0.019706,0.002287,-0.05622,0.026513,9,353.14,2,61,65.9
HD,2026-08-05,2026-08-14,405.0,C,0.01,0.46,0.235,46.9488,0.035202,0.002982,-0.11352,0.043051,9,353.14,3,3,65.9
HD,2026-08-05,2026-08-14,410.0,C,0.01,0.09,0.05,39.1608,0.008607,0.001076,-0.028502,0.012961,9,353.14,1,62,65.9
HD,2026-08-05,2026-08-14,415.0,C,0.01,0.09,0.05,41.8951,0.008048,0.000948,-0.028723,0.012219,9,353.14,1,3,65.9
HD,2026-08-05,2026-08-14,420.0,C,0.01,0.05,0.03,41.6021,0.004561,0.000577,-0.017234,0.007387,9,353.14,3,10,65.9
HD,2026-08-05,2026-08-14,425.0,C,0.0,0.14,0.07,50.0005,0.010495,0.001003,-0.04319,0.015415,9,353.14,11,14,65.9
HD,2026-08-05,2026-08-14,430.0,C,0.0,0.16,0.08,53.6137,0.011126,0.000984,-0.048698,0.016219,9,353.14,10,397,65.9
HD,2026-08-05,2026-08-14,435.0,C,0.0,0.13,0.065,50.3911,0.004889,0.000507,-0.022175,0.00786,9,353.14,9,18,65.9
HD,2026-08-05,2026-08-14,440.0,C,0.0,0.13,0.065,52.7348,0.004618,0.000461,-0.022048,0.00747,9,353.14,2,33,65.9
HD,2026-08-05,2026-08-14,445.0,C,0.0,0.13,0.065,55.0786,0.004404,0.000423,-0.022062,0.007159,9,353.14,3,4,65.9
HD,2026-08-05,2026-08-14,455.0,C,0.0,0.12,0.06,59.1801,0.003783,0.000343,-0.02068,0.00625,9,353.14,3,13,65.9
HD,2026-08-05,2026-08-14,465.0,C,0.0,0.3,0.15,70.7034,0.007874,0.000551,-0.047354,0.011986,9,353.14,2,34,65.9
HD,2026-08-05,2026-08-14,220.0,P,0.0,2.13,1.065,159.5705,-0.021817,0.000589,-0.255328,0.028899,9,353.14,5,22,65.9
HD,2026-08-05,2026-08-14,225.0,P,0.0,2.13,1.065,152.9788,-0.022728,0.000636,-0.253341,0.029915,9,353.14,6,31,65.9
HD,2026-08-05,2026-08-14,230.0,P,0.0,2.13,1.065,146.5823,-0.023742,0.000689,-0.251795,0.031035,9,353.14,6,104,65.9
HD,2026-08-05,2026-08-14,240.0,P,0.0,0.57,0.285,108.1059,-0.009004,0.000406,-0.080634,0.013483,9,353.14,2,83,65.9
HD,2026-08-05,2026-08-14,245.0,P,0.0,1.33,0.665,117.5297,-0.018842,0.000706,-0.165916,0.025522,9,353.14,3,5,65.9
HD,2026-08-05,2026-08-14,250.0,P,0.0,0.28,0.14,89.0626,-0.005444,0.000316,-0.042589,0.008649,9,353.14,3,57,65.9
HD,2026-08-05,2026-08-14,255.0,P,0.0,0.31,0.155,85.547,-0.006247,0.000371,-0.046208,0.009772,9,353.14,3,9,65.9
HD,2026-08-05,2026-08-14,260.0,P,0.0,0.05,0.025,66.016,-0.001288,0.000116,-0.008585,0.002354,9,353.14,1,644,65.9
HD,2026-08-05,2026-08-14,265.0,P,0.0,0.68,0.34,85.547,-0.0135,0.000729,-0.090639,0.019179,9,353.14,3,140,65.9
HD,2026-08-05,2026-08-14,270.0,P,0.0,0.13,0.065,64.6488,-0.003424,0.000287,-0.020396,0.005714,9,353.14,3,102,65.9
HD,2026-08-05,2026-08-14,275.0,P,0.0,0.1,0.05,58.9848,-0.002922,0.000273,-0.016128,0.004955,9,353.14,12,158,65.9
HD,2026-08-05,2026-08-14,280.0,P,0.0,0.59,0.295,69.5804,-0.014368,0.000946,-0.077687,0.020236,9,353.14,14,35,65.9
HD,2026-08-05,2026-08-14,285.0,P,0.0,0.12,0.06,52.3442,-0.003902,0.000399,-0.018541,0.006425,9,353.14,1,191,65.9
HD,2026-08-05,2026-08-14,290.0,P,0.0,0.3,0.15,54.5903,-0.009348,0.00083,-0.041913,0.013934,9,353.14,3,300,65.9
HD,2026-08-05,2026-08-14,295.0,P,0.01,0.39,0.2,52.6372,-0.012912,0.00114,-0.053488,0.018455,9,353.14,11,941,65.9
HD,2026-08-05,2026-08-14,300.0,P,0.01,0.29,0.15,51.3188,-0.018973,0.001627,-0.072493,0.025674,9,353.14,11,617,65.9
HD,2026-08-05,2026-08-14,305.0,P,0.02,0.43,0.225,50.2935,-0.028272,0.002322,-0.099303,0.035917,9,353.14,22,201,65.9
HD,2026-08-05,2026-08-14,307.5,P,0.0,0.58,0.29,50.855,-0.037178,0.002879,-0.12581,0.04502,9,353.14,3,131,65.9
HD,2026-08-05,2026-08-14,310.0,P,0.06,0.31,0.185,42.9693,-0.023944,0.002366,-0.073729,0.031256,9,353.14,2,159,65.9
HD,2026-08-05,2026-08-14,312.5,P,0.0,0.45,0.225,43.7017,-0.033677,0.003089,-0.099541,0.041513,9,353.14,1,12,65.9
HD,2026-08-05,2026-08-14,315.0,P,0.08,0.33,0.205,38.9655,-0.02784,0.002959,-0.075731,0.035458,9,353.14,23,201,65.9
HD,2026-08-05,2026-08-14,317.5,P,0.06,0.91,0.485,45.6304,-0.062587,0.004866,-0.170743,0.068272,9,353.14,1,114,65.9
HD,2026-08-05,2026-08-14,320.0,P,0.25,0.68,0.465,40.1373,-0.053741,0.004907,-0.133065,0.060567,9,353.14,28,186,65.9
