symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
JNJ,2026-08-24,2026-09-04,130.0,C,141.45,144.05,142.75,224.2192,0.982309,0.00041,-0.223323,0.020675,11,273.04,25,4,32.69
JNJ,2026-08-24,2026-09-04,135.0,C,136.4,139.25,137.825,221.2407,0.978762,0.000486,-0.255841,0.024148,11,273.04,25,5,32.69
JNJ,2026-08-24,2026-09-04,140.0,C,131.1,134.6,132.85,221.8754,0.973178,0.000589,-0.309649,0.029383,11,273.04,5,2,32.69
JNJ,2026-08-24,2026-09-04,195.0,C,76.15,79.6,77.875,124.6586,0.952426,0.001677,-0.284522,0.046981,11,273.04,5,1,32.69
JNJ,2026-08-24,2026-09-04,200.0,C,71.55,74.05,72.8,106.3481,0.962831,0.00161,-0.205144,0.038475,11,273.04,2,0,32.69
JNJ,2026-08-24,2026-09-04,230.0,C,41.4,44.05,42.725,65.8451,0.941513,0.003741,-0.187248,0.055344,11,273.04,30,6,32.69
JNJ,2026-08-24,2026-09-04,235.0,C,36.2,39.05,37.625,59.3266,0.93563,0.004475,-0.182797,0.059647,11,273.04,5,2,32.69
JNJ,2026-08-24,2026-09-04,240.0,C,31.2,34.05,32.625,52.8325,0.928444,0.005453,-0.177696,0.064727,11,273.04,15,3,32.69
JNJ,2026-08-24,2026-09-04,245.0,C,26.65,29.2,27.925,48.1206,0.911856,0.00701,-0.188061,0.075788,11,273.04,175,27,32.69
JNJ,2026-08-24,2026-09-04,250.0,C,21.4,24.05,22.725,39.7711,0.907835,0.008767,-0.164322,0.078342,11,273.04,75,19,32.69
JNJ,2026-08-24,2026-09-04,252.5,C,18.6,21.8,20.2,39.0143,0.885908,0.010437,-0.18456,0.091486,11,273.04,5,2,32.69
JNJ,2026-08-24,2026-09-04,255.0,C,16.6,19.25,17.925,35.0715,0.879296,0.012083,-0.174175,0.09521,11,273.04,80,22,32.69
JNJ,2026-08-24,2026-09-04,260.0,C,11.6,14.25,12.925,28.0281,0.853834,0.017249,-0.160576,0.108618,11,273.04,531,228,32.69
JNJ,2026-08-24,2026-09-04,262.5,C,9.55,11.6,10.575,23.2063,0.847326,0.021447,-0.140237,0.111823,11,273.04,1,12,32.69
JNJ,2026-08-24,2026-09-04,265.0,C,7.3,9.9,8.6,24.9641,0.769464,0.025695,-0.183837,0.144116,11,273.04,3,117,32.69
JNJ,2026-08-24,2026-09-04,267.5,C,5.9,7.95,6.925,23.8655,0.706237,0.030442,-0.195823,0.163229,11,273.04,15,5,32.69
JNJ,2026-08-24,2026-09-04,270.0,C,5.05,5.7,5.375,20.3499,0.642886,0.038677,-0.180799,0.176835,11,273.04,30,237,32.69
JNJ,2026-08-24,2026-09-04,272.5,C,3.5,5.15,4.325,24.7078,0.537294,0.033915,-0.225809,0.188271,11,273.04,80,32,32.69
JNJ,2026-08-24,2026-09-04,275.0,C,2.76,3.25,3.005,20.9725,0.441328,0.039697,-0.190212,0.187049,11,273.04,79,767,32.69
JNJ,2026-08-24,2026-09-04,277.5,C,1.89,2.33,2.11,21.0335,0.346453,0.037013,-0.176595,0.174912,11,273.04,31,90,32.69
JNJ,2026-08-24,2026-09-04,280.0,C,1.35,1.7,1.525,21.5828,0.266546,0.032112,-0.159979,0.155713,11,273.04,884,701,32.69
JNJ,2026-08-24,2026-09-04,282.5,C,0.43,1.32,0.875,22.7791,0.208017,0.026543,-0.146292,0.135846,11,273.04,52,50,32.69
JNJ,2026-08-24,2026-09-04,285.0,C,0.2,1.22,0.71,25.4158,0.177667,0.021603,-0.147319,0.12336,11,273.04,25,269,32.69
JNJ,2026-08-24,2026-09-04,290.0,C,0.01,0.53,0.27,24.8054,0.08819,0.013604,-0.087881,0.075818,11,273.04,35,56,32.69
JNJ,2026-08-24,2026-09-04,292.5,C,0.01,0.56,0.285,27.7595,0.083582,0.011678,-0.094165,0.072833,11,273.04,2,23,32.69
JNJ,2026-08-24,2026-09-04,295.0,C,0.1,0.38,0.24,27.6863,0.059117,0.008972,-0.071842,0.055812,11,273.04,4,121,32.69
JNJ,2026-08-24,2026-09-04,297.5,C,0.0,0.36,0.18,29.6638,0.052763,0.007656,-0.070227,0.051023,11,273.04,2,1,32.69
JNJ,2026-08-24,2026-09-04,300.0,C,0.0,0.24,0.12,29.4929,0.036586,0.005732,-0.051909,0.03798,11,273.04,1,101,32.69
JNJ,2026-08-24,2026-09-04,305.0,C,0.0,0.34,0.17,35.8405,0.041811,0.005258,-0.070106,0.04234,11,273.04,0,13,32.69
JNJ,2026-08-24,2026-09-04,310.0,C,0.0,0.05,0.025,29.8835,0.008204,0.001582,-0.014652,0.010622,11,273.04,0,40,32.69
JNJ,2026-08-24,2026-09-04,315.0,C,0.0,0.05,0.025,33.0085,0.007211,0.001279,-0.014422,0.009482,11,273.04,0,10,32.69
JNJ,2026-08-24,2026-09-04,325.0,C,0.0,0.65,0.325,51.2212,0.028577,0.002692,-0.072885,0.030976,11,273.04,0,37,32.69
JNJ,2026-08-24,2026-09-04,130.0,P,0.0,0.71,0.355,189.8438,-0.007763,0.000237,-0.087079,0.010119,11,273.04,155,122,32.69
JNJ,2026-08-24,2026-09-04,135.0,P,0.0,0.71,0.355,181.0548,-0.008161,0.00026,-0.086768,0.010574,11,273.04,169,93,32.69
JNJ,2026-08-24,2026-09-04,140.0,P,0.0,0.01,0.005,112.5004,-0.000213,1.5e-05,-0.001941,0.000381,11,273.04,24,86,32.69
JNJ,2026-08-24,2026-09-04,145.0,P,0.0,0.01,0.005,106.2505,-0.000208,1.6e-05,-0.001795,0.000373,11,273.04,129,141,32.69
JNJ,2026-08-24,2026-09-04,150.0,P,0.0,0.03,0.015,109.3755,-0.000566,3.8e-05,-0.004681,0.000945,11,273.04,84,116,32.69
JNJ,2026-08-24,2026-09-04,155.0,P,0.0,0.71,0.355,148.6331,-0.009965,0.000377,-0.084788,0.012595,11,273.04,113,70,32.69
JNJ,2026-08-24,2026-09-04,160.0,P,0.0,0.71,0.355,141.1136,-0.01048,0.000415,-0.084101,0.013161,11,273.04,19,9,32.69
JNJ,2026-08-24,2026-09-04,165.0,P,0.0,0.71,0.355,133.887,-0.011068,0.000459,-0.083657,0.013801,11,273.04,2,2,32.69
JNJ,2026-08-24,2026-09-04,170.0,P,0.0,0.71,0.355,126.7582,-0.011655,0.000507,-0.08282,0.014435,11,273.04,5,5,32.69
JNJ,2026-08-24,2026-09-04,175.0,P,0.0,0.71,0.355,119.9223,-0.012347,0.000563,-0.082349,0.015175,11,273.04,40,38,32.69
JNJ,2026-08-24,2026-09-04,180.0,P,0.0,0.71,0.355,113.184,-0.013058,0.000626,-0.081561,0.015929,11,273.04,15,7,32.69
JNJ,2026-08-24,2026-09-04,185.0,P,0.0,0.71,0.355,106.6411,-0.013859,0.0007,-0.080873,0.016769,11,273.04,4,4,32.69
JNJ,2026-08-24,2026-09-04,195.0,P,0.0,0.15,0.075,75.9768,-0.004313,0.000352,-0.020619,0.006006,11,273.04,4,5,32.69
JNJ,2026-08-24,2026-09-04,200.0,P,0.0,0.09,0.045,66.7972,-0.00296,0.000286,-0.012925,0.004285,11,273.04,4,120,32.69
