symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
JPM,2026-06-12,2026-06-26,220.0,C,98.95,102.85,100.9,82.1291,0.992503,0.000401,-0.059667,0.013004,14,320.72,1,1,
JPM,2026-06-12,2026-06-26,255.0,C,64.05,67.9,65.975,55.7622,0.984883,0.001088,-0.072432,0.023947,14,320.72,1,3,
JPM,2026-06-12,2026-06-26,260.0,C,59.55,62.7,61.125,55.7622,0.97666,0.001575,-0.093971,0.034651,14,320.72,1,4,
JPM,2026-06-12,2026-06-26,265.0,C,55.05,57.95,56.5,58.3989,0.958885,0.002402,-0.140302,0.055349,14,320.72,0,1,
JPM,2026-06-12,2026-06-26,270.0,C,49.65,53.1,51.375,51.8071,0.960885,0.0026,-0.123773,0.053151,14,320.72,1,3,
JPM,2026-06-12,2026-06-26,275.0,C,45.1,48.05,46.575,50.0982,0.948524,0.003354,-0.14414,0.0663,14,320.72,2,10,
JPM,2026-06-12,2026-06-26,280.0,C,40.35,42.25,41.3,52.5151,0.916987,0.004634,-0.205038,0.09602,14,320.72,2,14,
JPM,2026-06-12,2026-06-26,285.0,C,35.25,38.25,36.75,55.1762,0.87689,0.005877,-0.276174,0.12793,14,320.72,10,25,
JPM,2026-06-12,2026-06-26,290.0,C,30.2,33.1,31.65,48.4624,0.869265,0.006977,-0.255224,0.133395,14,320.72,3,23,
JPM,2026-06-12,2026-06-26,295.0,C,25.6,27.5,26.55,38.7579,0.876466,0.008386,-0.20263,0.128238,14,320.72,1,58,
JPM,2026-06-12,2026-06-26,300.0,C,21.1,22.8,21.95,35.1935,0.846977,0.010688,-0.211186,0.148408,14,320.72,7,381,
JPM,2026-06-12,2026-06-26,305.0,C,16.6,18.35,17.475,32.4226,0.800962,0.013707,-0.226667,0.17534,14,320.72,13,122,
JPM,2026-06-12,2026-06-26,310.0,C,12.55,13.85,13.2,28.4919,0.746019,0.017905,-0.227143,0.201273,14,320.72,398,254,
JPM,2026-06-12,2026-06-26,312.5,C,10.65,11.8,11.225,27.0576,0.706314,0.02026,-0.230274,0.216277,14,320.72,8,91,
JPM,2026-06-12,2026-06-26,315.0,C,9.2,10.0,9.6,26.2947,0.656212,0.022278,-0.236907,0.231119,14,320.72,83,303,
JPM,2026-06-12,2026-06-26,317.5,C,7.8,8.3,8.05,25.4402,0.600751,0.024165,-0.238648,0.24255,14,320.72,67,53,
JPM,2026-06-12,2026-06-26,320.0,C,6.45,6.8,6.625,24.8299,0.539458,0.025454,-0.2376,0.249358,14,320.72,205,1049,
JPM,2026-06-12,2026-06-26,322.5,C,5.0,5.4,5.2,24.0303,0.474253,0.026376,-0.229152,0.250062,14,320.72,153,47,
JPM,2026-06-12,2026-06-26,325.0,C,3.85,4.25,4.05,23.5725,0.407489,0.026216,-0.217799,0.243816,14,320.72,395,639,
JPM,2026-06-12,2026-06-26,327.5,C,2.89,3.3,3.095,23.2735,0.342473,0.025134,-0.202392,0.230786,14,320.72,509,54,
JPM,2026-06-12,2026-06-26,330.0,C,2.2,2.48,2.34,22.8645,0.279741,0.023428,-0.181235,0.211345,14,320.72,149,552,
JPM,2026-06-12,2026-06-26,335.0,C,1.17,1.43,1.3,22.9378,0.179741,0.018196,-0.140477,0.16467,14,320.72,104,663,
JPM,2026-06-12,2026-06-26,340.0,C,0.5,0.81,0.655,23.2796,0.109878,0.012849,-0.101537,0.118015,14,320.72,166,311,
JPM,2026-06-12,2026-06-26,345.0,C,0.24,0.52,0.38,24.5125,0.071161,0.008831,-0.076986,0.08541,14,320.72,4,78,
JPM,2026-06-12,2026-06-26,350.0,C,0.07,0.27,0.17,24.6101,0.039228,0.005487,-0.04805,0.053276,14,320.72,51,53,
JPM,2026-06-12,2026-06-26,355.0,C,0.0,0.54,0.27,31.861,0.057746,0.005776,-0.084409,0.072609,14,320.72,2,2,
JPM,2026-06-12,2026-06-26,360.0,C,0.0,2.15,1.075,49.7808,0.130917,0.006798,-0.241356,0.133523,14,320.72,2,2,
JPM,2026-06-12,2026-06-26,170.0,P,0.0,2.13,1.065,171.2892,-0.019505,0.000441,-0.181427,0.029773,14,320.72,0,2,
JPM,2026-06-12,2026-06-26,175.0,P,0.0,2.13,1.065,164.3556,-0.020318,0.000475,-0.180186,0.030822,14,320.72,10,10,
JPM,2026-06-12,2026-06-26,180.0,P,0.0,0.65,0.325,130.5668,-0.008376,0.000278,-0.066552,0.014334,14,320.72,1,2,
JPM,2026-06-12,2026-06-26,190.0,P,0.01,0.02,0.015,85.1564,-0.000617,4e-05,-0.004103,0.001356,14,320.72,85,313,
JPM,2026-06-12,2026-06-26,200.0,P,0.0,1.14,0.57,118.7504,-0.015666,0.000527,-0.104175,0.024691,14,320.72,0,1,
JPM,2026-06-12,2026-06-26,210.0,P,0.0,2.13,1.065,120.557,-0.027591,0.000838,-0.170681,0.039865,14,320.72,2,4,
JPM,2026-06-12,2026-06-26,215.0,P,0.0,2.14,1.07,114.9418,-0.029025,0.000917,-0.16969,0.041583,14,320.72,0,1,
JPM,2026-06-12,2026-06-26,220.0,P,0.0,2.14,1.07,109.3266,-0.030464,0.001004,-0.167956,0.043286,14,320.72,1,14,
JPM,2026-06-12,2026-06-26,230.0,P,0.0,2.15,1.075,98.4863,-0.033818,0.001214,-0.164801,0.047184,14,320.72,4,11,
JPM,2026-06-12,2026-06-26,235.0,P,0.0,2.16,1.08,93.2618,-0.035809,0.001344,-0.163492,0.049454,14,320.72,1,3,
JPM,2026-06-12,2026-06-26,240.0,P,0.0,0.42,0.21,66.5042,-0.010674,0.000675,-0.041733,0.01772,14,320.72,15,158,
JPM,2026-06-12,2026-06-26,245.0,P,0.0,0.23,0.115,57.4223,-0.006883,0.000532,-0.024506,0.01206,14,320.72,3,12,
JPM,2026-06-12,2026-06-26,250.0,P,0.02,0.12,0.07,50.3911,-0.004833,0.000443,-0.0157,0.008812,14,320.72,22,241,
JPM,2026-06-12,2026-06-26,255.0,P,0.0,0.73,0.365,59.0824,-0.020107,0.001311,-0.063796,0.03055,14,320.72,1,298,
JPM,2026-06-12,2026-06-26,260.0,P,0.04,0.24,0.14,51.2212,-0.015532,0.001213,-0.044324,0.02451,14,320.72,2,181,
JPM,2026-06-12,2026-06-26,265.0,P,0.0,0.56,0.28,54.688,-0.032279,0.002105,-0.087617,0.045408,14,320.72,2,148,
JPM,2026-06-12,2026-06-26,270.0,P,0.01,0.36,0.185,46.2896,-0.025026,0.002012,-0.05992,0.036743,14,320.72,7,501,
JPM,2026-06-12,2026-06-26,275.0,P,0.1,0.4,0.25,42.9205,-0.029501,0.002489,-0.063638,0.042148,14,320.72,10,492,
JPM,2026-06-12,2026-06-26,280.0,P,0.25,0.39,0.32,38.526,-0.031751,0.002947,-0.060593,0.044794,14,320.72,50,385,
JPM,2026-06-12,2026-06-26,285.0,P,0.37,0.46,0.415,35.5231,-0.039889,0.003853,-0.067211,0.054005,14,320.72,64,305,
JPM,2026-06-12,2026-06-26,290.0,P,0.35,0.66,0.505,33.8386,-0.057815,0.005444,-0.08594,0.072677,14,320.72,76,474,
JPM,2026-06-12,2026-06-26,295.0,P,0.49,0.97,0.73,32.3615,-0.08495,0.007652,-0.110136,0.097699,14,320.72,273,219,
JPM,2026-06-12,2026-06-26,297.5,P,0.75,0.98,0.865,30.0056,-0.091448,0.008719,-0.107621,0.103217,14,320.72,18,25,
JPM,2026-06-12,2026-06-26,300.0,P,0.97,1.28,1.125,29.8591,-0.116037,0.010415,-0.12705,0.1227,14,320.72,109,359,
JPM,2026-06-12,2026-06-26,302.5,P,1.0,1.56,1.28,29.1267,-0.140483,0.012194,-0.141172,0.140133,14,320.72,51,431,
JPM,2026-06-12,2026-06-26,305.0,P,1.27,1.79,1.53,27.7595,-0.164255,0.014195,-0.148753,0.155464,14,320.72,864,388,
JPM,2026-06-12,2026-06-26,307.5,P,1.69,2.25,1.97,27.3689,-0.201016,0.016335,-0.165824,0.176386,14,320.72,94,15,
JPM,2026-06-12,2026-06-26,310.0,P,2.06,2.52,2.29,25.5989,-0.232437,0.018996,-0.16779,0.191853,14,320.72,66,112,
JPM,2026-06-12,2026-06-26,315.0,P,3.5,3.9,3.7,24.7261,-0.335604,0.023474,-0.191199,0.228995,14,320.72,51,116,
JPM,2026-06-12,2026-06-26,340.0,P,18.95,20.7,19.825,27.6374,-0.847511,0.013579,-0.117206,0.148064,14,320.72,1,1,
JPM,2026-06-12,2026-06-26,370.0,P,47.6,51.1,49.35,55.0542,-0.895961,0.005223,-0.1896,0.113456,14,320.72,0,0,
JPM,2026-06-12,2026-07-02,210.0,C,109.0,112.95,110.975,80.7619,0.990485,0.000421,-0.059132,0.019158,20,320.72,2,1,
JPM,2026-06-12,2026-07-02,215.0,C,103.9,108.1,106.0,77.7346,0.989269,0.000486,-0.062259,0.021279,20,320.72,2,1,
JPM,2026-06-12,2026-07-02,245.0,C,74.1,78.1,76.1,57.6664,0.981111,0.001065,-0.073525,0.034627,20,320.72,1,3,
JPM,2026-06-12,2026-07-02,250.0,C,69.25,73.15,71.2,56.1528,0.975921,0.001343,-0.083613,0.042517,20,320.72,2,6,
JPM,2026-06-12,2026-07-02,255.0,C,64.25,68.15,66.2,52.3442,0.974345,0.00152,-0.083047,0.044838,20,320.72,4,2,
JPM,2026-06-12,2026-07-02,260.0,C,59.4,63.35,61.375,51.5142,0.965414,0.001979,-0.098549,0.057446,20,320.72,6,3,
JPM,2026-06-12,2026-07-02,265.0,C,55.15,58.3,56.725,52.1245,0.949635,0.002651,-0.126014,0.077879,20,320.72,10,6,
JPM,2026-06-12,2026-07-02,270.0,C,50.45,53.4,51.925,50.0859,0.938685,0.003222,-0.138554,0.090961,20,320.72,4,1,
JPM,2026-06-12,2026-07-02,275.0,C,45.25,48.25,46.75,56.2016,0.894331,0.004329,-0.216311,0.137142,20,320.72,1,14,
JPM,2026-06-12,2026-07-02,280.0,C,40.65,43.55,42.1,53.2964,0.878317,0.005049,-0.225652,0.15166,20,320.72,2,13,
JPM,2026-06-12,2026-07-02,285.0,C,35.6,38.7,37.15,49.2681,0.864053,0.005898,-0.22534,0.163784,20,320.72,8,7,
JPM,2026-06-12,2026-07-02,290.0,C,30.95,33.1,32.025,40.9552,0.868404,0.006938,-0.188282,0.160163,20,320.72,11,7,
JPM,2026-06-12,2026-07-02,295.0,C,26.45,27.85,27.15,34.7785,0.862555,0.008418,-0.168102,0.165016,20,320.72,2,10,
JPM,2026-06-12,2026-07-02,300.0,C,21.85,23.4,22.625,32.7521,0.825186,0.010476,-0.182235,0.193394,20,320.72,12,35,
JPM,2026-06-12,2026-07-02,305.0,C,17.6,19.25,18.425,31.2873,0.773342,0.012821,-0.199499,0.226096,20,320.72,3,83,
JPM,2026-06-12,2026-07-02,310.0,C,13.85,15.2,14.525,29.2427,0.712203,0.015536,-0.208312,0.256064,20,320.72,13,105,
JPM,2026-06-12,2026-07-02,315.0,C,10.65,11.3,10.975,26.7036,0.637155,0.018712,-0.207127,0.281626,20,320.72,53,338,
JPM,2026-06-12,2026-07-02,320.0,C,7.6,8.0,7.8,24.9031,0.540506,0.021228,-0.20188,0.29796,20,320.72,188,473,
JPM,2026-06-12,2026-07-02,325.0,C,5.05,5.45,5.25,23.9326,0.431233,0.021873,-0.189691,0.295045,20,320.72,93,399,
JPM,2026-06-12,2026-07-02,330.0,C,3.3,3.75,3.525,24.073,0.328943,0.020013,-0.173497,0.271532,20,320.72,240,405,
JPM,2026-06-12,2026-07-02,335.0,C,1.86,2.31,2.085,23.4139,0.232316,0.017371,-0.141341,0.229241,20,320.72,179,314,
JPM,2026-06-12,2026-07-02,340.0,C,0.87,1.45,1.16,23.5115,0.159342,0.013747,-0.112003,0.182174,20,320.72,12,94,
JPM,2026-06-12,2026-07-02,345.0,C,0.42,0.75,0.585,22.657,0.094748,0.009917,-0.074672,0.126643,20,320.72,8,86,
JPM,2026-06-12,2026-07-02,350.0,C,0.31,0.52,0.415,23.7801,0.06603,0.007189,-0.059334,0.096358,20,320.72,8,189,
JPM,2026-06-12,2026-07-02,360.0,C,0.0,0.3,0.15,26.5876,0.036454,0.004002,-0.040998,0.059978,20,320.72,2,2,
JPM,2026-06-12,2026-07-02,200.0,P,0.0,2.13,1.065,111.8657,-0.026071,0.000721,-0.126176,0.045446,20,320.72,0,3,
JPM,2026-06-12,2026-07-02,245.0,P,0.0,2.21,1.105,70.3128,-0.041762,0.001691,-0.116348,0.066998,20,320.72,1,10,
JPM,2026-06-12,2026-07-02,250.0,P,0.0,0.85,0.425,54.9809,-0.021936,0.001268,-0.053295,0.039307,20,320.72,3,78,
JPM,2026-06-12,2026-07-02,255.0,P,0.0,2.26,1.13,62.0121,-0.047865,0.002139,-0.114307,0.074776,20,320.72,1,257,
JPM,2026-06-12,2026-07-02,260.0,P,0.12,0.28,0.2,44.3365,-0.018159,0.00134,-0.036515,0.033485,20,320.72,1,50,
JPM,2026-06-12,2026-07-02,265.0,P,0.2,0.56,0.38,46.2164,-0.033147,0.00213,-0.062993,0.055473,20,320.72,27,379,
JPM,2026-06-12,2026-07-02,270.0,P,0.16,0.48,0.32,41.2115,-0.031922,0.002315,-0.054351,0.053777,20,320.72,25,453,
JPM,2026-06-12,2026-07-02,275.0,P,0.22,0.57,0.395,38.8434,-0.039312,0.002914,-0.060646,0.063788,20,320.72,11,4053,
JPM,2026-06-12,2026-07-02,280.0,P,0.27,0.64,0.455,35.987,-0.046724,0.003616,-0.064447,0.073344,20,320.72,6,158,
JPM,2026-06-12,2026-07-02,285.0,P,0.46,0.87,0.665,34.5588,-0.06368,0.00481,-0.078842,0.093684,20,320.72,41,238,
JPM,2026-06-12,2026-07-02,290.0,P,0.7,1.09,0.895,32.4103,-0.082079,0.006229,-0.089499,0.113793,20,320.72,90,276,
JPM,2026-06-12,2026-07-02,295.0,P,0.86,1.32,1.09,29.8591,-0.103962,0.008053,-0.097754,0.135534,20,320.72,96,169,
JPM,2026-06-12,2026-07-02,300.0,P,1.45,1.91,1.68,28.8581,-0.146449,0.010591,-0.119455,0.17226,20,320.72,93,135,
JPM,2026-06-12,2026-07-02,305.0,P,2.01,2.58,2.295,27.1858,-0.19691,0.013589,-0.135025,0.208216,20,320.72,80,1331,
JPM,2026-06-12,2026-07-02,310.0,P,2.96,3.65,3.305,26.1116,-0.267895,0.016801,-0.152563,0.247258,20,320.72,170,1310,
JPM,2026-06-12,2026-07-02,315.0,P,4.4,4.8,4.6,24.0303,-0.350752,0.020547,-0.1556,0.278294,20,320.72,64,109,
JPM,2026-06-12,2026-07-02,320.0,P,6.25,6.9,6.575,23.6702,-0.458566,0.022329,-0.161063,0.297889,20,320.72,134,26,
JPM,2026-06-12,2026-07-02,330.0,P,11.4,13.1,12.25,24.3294,-0.669152,0.019848,-0.143028,0.272162,20,320.72,1,1,
JPM,2026-06-12,2026-07-02,335.0,P,14.8,16.7,15.75,23.896,-0.76281,0.017217,-0.112689,0.231888,20,320.72,4,2,
JPM,2026-06-12,2026-07-10,235.0,C,84.15,88.05,86.1,55.5669,0.982812,0.000862,-0.060164,0.037805,28,320.72,1,1,
JPM,2026-06-12,2026-07-10,250.0,C,69.1,73.2,71.15,68.0911,0.923626,0.002373,-0.177084,0.127494,28,320.72,1,1,
JPM,2026-06-12,2026-07-10,275.0,C,45.3,48.45,46.875,48.9568,0.889241,0.004345,-0.170163,0.167857,28,320.72,1,11,
JPM,2026-06-12,2026-07-10,285.0,C,35.6,38.1,36.85,38.8983,0.880128,0.005785,-0.147486,0.177561,28,320.72,30,31,
JPM,2026-06-12,2026-07-10,290.0,C,31.3,33.35,32.325,36.0602,0.861228,0.006907,-0.150574,0.196533,28,320.72,2,20,
JPM,2026-06-12,2026-07-10,295.0,C,26.3,28.35,27.325,31.8977,0.846558,0.008354,-0.143814,0.210261,28,320.72,8,17,
JPM,2026-06-12,2026-07-10,300.0,C,22.2,23.7,22.95,29.0901,0.816908,0.010263,-0.145948,0.235587,28,320.72,17,28,
JPM,2026-06-12,2026-07-10,305.0,C,17.75,19.6,18.675,27.8572,0.766055,0.012388,-0.157817,0.272297,28,320.72,7,32,
JPM,2026-06-12,2026-07-10,310.0,C,13.9,15.75,14.825,26.6182,0.703894,0.014617,-0.166708,0.307021,28,320.72,14,115,
JPM,2026-06-12,2026-07-10,315.0,C,11.35,12.15,11.75,25.19,0.630282,0.01687,-0.169626,0.33531,28,320.72,144,222,
JPM,2026-06-12,2026-07-10,320.0,C,8.35,8.75,8.55,23.2765,0.543854,0.019178,-0.1628,0.352236,28,320.72,53,433,
JPM,2026-06-12,2026-07-10,325.0,C,5.85,6.25,6.05,22.6235,0.445934,0.019669,-0.155383,0.35112,28,320.72,173,768,
JPM,2026-06-12,2026-07-10,330.0,C,3.85,4.3,4.075,22.1687,0.348766,0.018785,-0.140728,0.3286,28,320.72,114,346,
JPM,2026-06-12,2026-07-10,335.0,C,2.41,2.78,2.595,21.6072,0.257327,0.016809,-0.118475,0.286595,28,320.72,183,244,
JPM,2026-06-12,2026-07-10,340.0,C,1.36,1.88,1.62,21.8941,0.187649,0.013846,-0.099296,0.239211,28,320.72,376,435,
JPM,2026-06-12,2026-07-10,350.0,C,0.27,0.79,0.53,22.303,0.09037,0.008222,-0.060419,0.144692,28,320.72,7,76,
JPM,2026-06-12,2026-07-10,355.0,C,0.22,0.51,0.365,22.6326,0.06125,0.006022,-0.045357,0.107538,28,320.72,5,25,
JPM,2026-06-12,2026-07-10,360.0,C,0.09,0.41,0.25,23.9754,0.047969,0.004685,-0.039429,0.088629,28,320.72,32,34,
JPM,2026-06-12,2026-07-10,365.0,C,0.0,0.58,0.29,28.0769,0.056086,0.00453,-0.05204,0.100352,28,320.72,1,1,
JPM,2026-06-12,2026-07-10,200.0,P,0.0,2.13,1.065,95.1905,-0.026583,0.000728,-0.091965,0.054655,28,320.72,1,3,
JPM,2026-06-12,2026-07-10,245.0,P,0.0,2.25,1.125,60.0712,-0.04285,0.001708,-0.085363,0.08094,28,320.72,5,2,
JPM,2026-06-12,2026-07-10,250.0,P,0.0,0.68,0.34,50.9282,-0.031711,0.001575,-0.056483,0.063281,28,320.72,3,2,
JPM,2026-06-12,2026-07-10,255.0,P,0.0,2.34,1.17,53.1743,-0.049528,0.002167,-0.084659,0.090924,28,320.72,6,37,
JPM,2026-06-12,2026-07-10,260.0,P,0.13,0.5,0.315,41.6754,-0.028711,0.001772,-0.042415,0.058276,28,320.72,3,29,
JPM,2026-06-12,2026-07-10,265.0,P,0.17,0.5,0.335,38.5016,-0.030815,0.002034,-0.041467,0.0618,28,320.72,5,70,
JPM,2026-06-12,2026-07-10,270.0,P,0.23,0.68,0.455,37.5495,-0.041465,0.00266,-0.051472,0.078816,28,320.72,4,118,
JPM,2026-06-12,2026-07-10,275.0,P,0.48,0.8,0.64,35.4987,-0.050333,0.003288,-0.056715,0.092102,28,320.72,9,207,
JPM,2026-06-12,2026-07-10,280.0,P,0.73,0.88,0.805,32.8864,-0.058594,0.004003,-0.059059,0.103867,28,320.72,30,270,
