symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
LLY,2026-07-29,2026-08-07,700.0,C,503.8,522.0,512.9,173.7306,0.984062,0.000121,-0.799585,0.075804,9,1210.02,0,1,77.87
LLY,2026-07-29,2026-08-07,730.0,C,475.3,491.55,483.425,166.7726,0.980495,0.00015,-0.904898,0.09006,9,1210.02,1,1,77.87
LLY,2026-07-29,2026-08-07,740.0,C,462.1,481.5,471.8,146.2649,0.988083,0.000112,-0.55187,0.05899,9,1210.02,0,1,77.87
LLY,2026-07-29,2026-08-07,770.0,C,433.15,450.4,441.775,135.474,0.987303,0.000127,-0.544476,0.06232,9,1210.02,0,2,77.87
LLY,2026-07-29,2026-08-07,780.0,C,425.45,440.45,432.95,143.7747,0.980387,0.000174,-0.798248,0.090484,9,1210.02,0,1,77.87
LLY,2026-07-29,2026-08-07,825.0,C,380.3,395.5,387.9,127.4296,0.978238,0.000215,-0.779291,0.098812,9,1210.02,1,1,77.87
LLY,2026-07-29,2026-08-07,880.0,C,324.6,340.65,332.625,106.9219,0.976491,0.000273,-0.711504,0.105458,9,1210.02,1,1,77.87
LLY,2026-07-29,2026-08-07,900.0,C,305.8,322.0,313.9,108.521,0.966187,0.000364,-0.946129,0.142713,9,1210.02,2,26,77.87
LLY,2026-07-29,2026-08-07,920.0,C,285.85,300.85,293.35,98.7305,0.967902,0.000384,-0.8379,0.136722,9,1210.02,1,11,77.87
LLY,2026-07-29,2026-08-07,935.0,C,271.15,286.0,278.575,95.1294,0.964607,0.000431,-0.872134,0.14817,9,1210.02,1,1,77.87
LLY,2026-07-29,2026-08-07,940.0,C,266.0,281.0,273.5,93.1031,0.964578,0.000441,-0.856471,0.14827,9,1210.02,1,2,77.87
LLY,2026-07-29,2026-08-07,950.0,C,256.4,271.15,263.775,91.3087,0.961245,0.000484,-0.899619,0.159576,9,1210.02,1,11,77.87
LLY,2026-07-29,2026-08-07,980.0,C,227.9,241.55,234.725,85.8705,0.949262,0.00064,-1.037453,0.198266,9,1210.02,2,1,77.87
LLY,2026-07-29,2026-08-07,1000.0,C,206.35,222.0,214.175,77.0388,0.949893,0.000706,-0.93387,0.196297,9,1210.02,4,8,77.87
LLY,2026-07-29,2026-08-07,1005.0,C,202.0,216.0,209.0,74.7012,0.950428,0.000722,-0.902022,0.194626,9,1210.02,0,1,77.87
LLY,2026-07-29,2026-08-07,1010.0,C,197.0,211.0,204.0,73.1082,0.949413,0.000749,-0.89805,0.197796,9,1210.02,1,2,77.87
LLY,2026-07-29,2026-08-07,1020.0,C,190.0,202.0,196.0,77.2463,0.930092,0.000914,-1.1869,0.25486,9,1210.02,4,5,77.87
LLY,2026-07-29,2026-08-07,1025.0,C,181.2,197.0,189.1,68.7503,0.945142,0.00085,-0.901319,0.210935,9,1210.02,1,1,77.87
LLY,2026-07-29,2026-08-07,1030.0,C,178.5,192.0,185.25,71.3565,0.933405,0.000953,-1.067808,0.245486,9,1210.02,1,2,77.87
LLY,2026-07-29,2026-08-07,1035.0,C,173.55,187.0,180.275,69.7879,0.931718,0.000993,-1.065288,0.250277,9,1210.02,3,5,77.87
LLY,2026-07-29,2026-08-07,1040.0,C,167.15,183.0,175.075,67.4686,0.931979,0.001024,-1.030821,0.249539,9,1210.02,2,14,77.87
LLY,2026-07-29,2026-08-07,1045.0,C,163.35,178.0,170.675,67.7738,0.924981,0.001099,-1.10799,0.269017,9,1210.02,1,4,77.87
LLY,2026-07-29,2026-08-07,1050.0,C,158.55,173.0,165.775,66.4127,0.922336,0.001152,-1.114331,0.276203,9,1210.02,2,9,77.87
LLY,2026-07-29,2026-08-07,1055.0,C,154.1,169.0,161.55,67.0322,0.913664,0.001236,-1.208635,0.299139,9,1210.02,2,12,77.87
LLY,2026-07-29,2026-08-07,1060.0,C,150.9,164.0,157.45,67.7982,0.904061,0.001322,-1.312297,0.323478,9,1210.02,1,26,77.87
LLY,2026-07-29,2026-08-07,1065.0,C,145.5,159.0,152.25,65.5155,0.903392,0.001375,-1.277739,0.325135,9,1210.02,2,5,77.87
LLY,2026-07-29,2026-08-07,1070.0,C,140.4,155.0,147.7,64.9357,0.897224,0.001451,-1.321236,0.340175,9,1210.02,1,5,77.87
LLY,2026-07-29,2026-08-07,1075.0,C,138.3,150.0,144.15,66.7026,0.883092,0.00155,-1.475445,0.37314,9,1210.02,1,5,77.87
LLY,2026-07-29,2026-08-07,1080.0,C,134.0,143.65,138.825,64.1147,0.882663,0.001616,-1.425728,0.374109,9,1210.02,3,5,77.87
LLY,2026-07-29,2026-08-07,1085.0,C,129.0,141.0,135.0,64.954,0.870567,0.001709,-1.538175,0.400734,9,1210.02,0,1,77.87
LLY,2026-07-29,2026-08-07,1090.0,C,125.0,137.0,131.0,65.2317,0.859888,0.001797,-1.624667,0.423138,9,1210.02,2,3,77.87
LLY,2026-07-29,2026-08-07,1095.0,C,120.0,133.0,126.5,64.3558,0.852644,0.001884,-1.656004,0.437781,9,1210.02,6,5,77.87
LLY,2026-07-29,2026-08-07,1100.0,C,116.0,128.0,122.0,63.4281,0.845175,0.001976,-1.684585,0.452423,9,1210.02,1,8,77.87
LLY,2026-07-29,2026-08-07,1105.0,C,112.0,124.0,118.0,63.4067,0.834155,0.002067,-1.756374,0.473218,9,1210.02,1,5,77.87
LLY,2026-07-29,2026-08-07,1110.0,C,108.0,119.3,113.65,62.6285,0.825271,0.002164,-1.791256,0.489307,9,1210.02,1,5,77.87
LLY,2026-07-29,2026-08-07,1115.0,C,102.3,115.65,108.975,61.2034,0.818167,0.002271,-1.79444,0.501753,9,1210.02,8,4,77.87
LLY,2026-07-29,2026-08-07,1120.0,C,100.8,108.6,104.7,60.4466,0.808243,0.002376,-1.828916,0.518531,9,1210.02,1,13,77.87
LLY,2026-07-29,2026-08-07,1125.0,C,95.0,105.0,100.0,58.8963,0.800595,0.002497,-1.824575,0.530992,9,1210.02,1,12,77.87
LLY,2026-07-29,2026-08-07,1130.0,C,92.0,101.0,96.5,59.3144,0.785482,0.002589,-1.912754,0.554456,9,1210.02,1,40,77.87
LLY,2026-07-29,2026-08-07,1135.0,C,88.0,97.0,92.5,58.7864,0.773157,0.002697,-1.95429,0.572487,9,1210.02,1,5,77.87
LLY,2026-07-29,2026-08-07,1140.0,C,84.0,94.0,89.0,58.9512,0.758025,0.002788,-2.026275,0.593317,9,1210.02,3,21,77.87
