symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
MA,2026-08-13,2026-08-21,290.0,C,273.4,281.9,277.65,194.6289,0.99332,0.000114,-0.219921,0.015696,8,567.04,0,2,97.19
MA,2026-08-13,2026-08-21,380.0,C,183.5,191.9,187.7,124.0238,0.988581,0.000287,-0.232518,0.025115,8,567.04,1,1,97.19
MA,2026-08-13,2026-08-21,400.0,C,163.6,172.0,167.8,112.4516,0.985528,0.000389,-0.256342,0.030827,8,567.04,1,1,97.19
MA,2026-08-13,2026-08-21,405.0,C,130.3,135.7,133.0,0.001,1.0,0.0,-0.041077,0.0,8,567.04,12,7,97.19
MA,2026-08-13,2026-08-21,410.0,C,153.9,162.0,157.95,108.7407,0.982128,0.000482,-0.291531,0.036938,8,567.04,2,7,97.19
MA,2026-08-13,2026-08-21,415.0,C,148.6,157.0,152.8,102.1001,0.984065,0.000465,-0.254797,0.033485,8,567.04,1,1,97.19
MA,2026-08-13,2026-08-21,425.0,C,140.0,146.6,143.3,104.2241,0.974478,0.00068,-0.366728,0.04992,8,567.04,1,4,97.19
MA,2026-08-13,2026-08-21,430.0,C,134.3,141.6,137.95,94.9219,0.979555,0.000619,-0.288053,0.041412,8,567.04,6,8,97.19
MA,2026-08-13,2026-08-21,435.0,C,129.3,136.6,132.95,91.5284,0.978822,0.000661,-0.2869,0.042665,8,567.04,1,3,97.19
MA,2026-08-13,2026-08-21,440.0,C,125.0,132.0,128.5,96.3379,0.968236,0.000882,-0.403272,0.059886,8,567.04,1,5,97.19
MA,2026-08-13,2026-08-21,445.0,C,83.6,91.5,87.55,0.001,1.0,0.0,-0.045134,0.0,8,567.04,1,19,97.19
MA,2026-08-13,2026-08-21,450.0,C,114.7,121.7,118.2,85.3029,0.971295,0.000916,-0.337484,0.055066,8,567.04,3,57,97.19
MA,2026-08-13,2026-08-21,455.0,C,80.9,86.9,83.9,0.001,1.0,0.0,-0.046148,0.0,8,567.04,1,29,97.19
MA,2026-08-13,2026-08-21,460.0,C,104.3,111.7,108.0,75.7327,0.973147,0.000976,-0.291592,0.052089,8,567.04,3,63,97.19
MA,2026-08-13,2026-08-21,465.0,C,99.7,106.7,103.2,75.1467,0.967568,0.00115,-0.331353,0.060925,8,567.04,1,62,97.19
MA,2026-08-13,2026-08-21,470.0,C,94.7,101.7,98.2,71.802,0.966113,0.001248,-0.329103,0.063167,8,567.04,1,38,97.19
MA,2026-08-13,2026-08-21,475.0,C,90.1,96.7,93.4,70.7767,0.95998,0.001451,-0.365908,0.072371,8,567.04,2,15,97.19
MA,2026-08-13,2026-08-21,480.0,C,84.3,91.7,88.0,62.7445,0.967782,0.00137,-0.284373,0.060592,8,567.04,1,29,97.19
MA,2026-08-13,2026-08-21,485.0,C,79.3,86.7,83.0,59.5219,0.966133,0.001505,-0.282047,0.063136,8,567.04,2,43,97.19
MA,2026-08-13,2026-08-21,490.0,C,74.3,81.7,78.0,56.3237,0.964277,0.001662,-0.27978,0.065964,8,567.04,1,94,97.19
MA,2026-08-13,2026-08-21,495.0,C,70.1,76.7,73.4,57.2514,0.951038,0.00211,-0.351943,0.085143,8,567.04,1,116,97.19
MA,2026-08-13,2026-08-21,500.0,C,64.1,70.3,67.2,67.5662,0.905909,0.002959,-0.639977,0.140886,8,567.04,2,558,97.19
MA,2026-08-13,2026-08-21,505.0,C,59.4,66.7,63.05,71.2771,0.876674,0.003408,-0.806346,0.171188,8,567.04,3,147,97.19
MA,2026-08-13,2026-08-21,510.0,C,54.8,61.8,58.3,67.5784,0.868179,0.003765,-0.801056,0.179304,8,567.04,14,137,97.19
MA,2026-08-13,2026-08-21,515.0,C,50.2,56.8,53.5,63.3549,0.860345,0.004178,-0.78242,0.186537,8,567.04,10,130,97.19
MA,2026-08-13,2026-08-21,520.0,C,44.1,52.3,48.2,61.3407,0.843265,0.004662,-0.815827,0.201512,8,567.04,11,304,97.19
MA,2026-08-13,2026-08-21,522.5,C,42.4,49.3,45.85,56.9706,0.84654,0.00495,-0.751342,0.198722,8,567.04,0,6,97.19
MA,2026-08-13,2026-08-21,525.0,C,40.3,47.2,43.75,56.5434,0.834417,0.005242,-0.781393,0.208864,8,567.04,1,202,97.19
MA,2026-08-13,2026-08-21,527.5,C,37.8,44.4,41.1,53.0888,0.833797,0.005596,-0.738218,0.209369,8,567.04,1,3,97.19
MA,2026-08-13,2026-08-21,530.0,C,35.0,42.3,38.65,52.5517,0.820589,0.005936,-0.764995,0.219827,8,567.04,2,279,97.19
MA,2026-08-13,2026-08-21,532.5,C,32.9,39.5,36.2,49.1094,0.819098,0.006385,-0.721409,0.220972,8,567.04,1,4,97.19
MA,2026-08-13,2026-08-21,535.0,C,29.4,36.1,32.75,43.2257,0.829849,0.006978,-0.618364,0.212555,8,567.04,1,151,97.19
MA,2026-08-13,2026-08-21,537.5,C,28.1,34.8,31.45,45.7891,0.798169,0.007323,-0.718725,0.236312,8,567.04,2,100,97.19
MA,2026-08-13,2026-08-21,540.0,C,25.7,31.2,28.45,39.2828,0.811434,0.008191,-0.600262,0.226747,8,567.04,1,494,97.19
MA,2026-08-13,2026-08-21,542.5,C,22.9,30.1,26.5,42.2552,0.773817,0.00848,-0.70841,0.25252,8,567.04,1,25,97.19
MA,2026-08-13,2026-08-21,545.0,C,21.1,28.0,24.55,41.2665,0.755765,0.009059,-0.720197,0.26346,8,567.04,2,181,97.19
MA,2026-08-13,2026-08-21,547.5,C,18.9,25.6,22.25,39.1486,0.741519,0.00984,-0.704359,0.271476,8,567.04,1,16,97.19
MA,2026-08-13,2026-08-21,550.0,C,16.4,23.5,19.95,37.9523,0.720921,0.010549,-0.708381,0.282138,8,567.04,6,615,97.19
MA,2026-08-13,2026-08-21,552.5,C,14.7,21.3,18.0,36.3105,0.700281,0.011402,-0.700298,0.291759,8,567.04,1,13,97.19
MA,2026-08-13,2026-08-21,555.0,C,12.6,18.9,15.75,33.9362,0.68027,0.012548,-0.673791,0.300102,8,567.04,6,320,97.19
MA,2026-08-13,2026-08-21,557.5,C,9.1,15.0,12.05,26.905,0.679491,0.015844,-0.542764,0.300408,8,567.04,1,7,97.19
MA,2026-08-13,2026-08-21,560.0,C,9.5,14.0,11.75,28.5896,0.63138,0.015713,-0.600622,0.316576,8,567.04,4,911,97.19
MA,2026-08-13,2026-08-21,562.5,C,7.1,14.0,10.55,32.7582,0.581896,0.0142,-0.703296,0.327824,8,567.04,1,154,97.19
MA,2026-08-13,2026-08-21,565.0,C,6.7,12.5,9.6,32.2944,0.546282,0.014616,-0.701635,0.332649,8,567.04,17,319,97.19
MA,2026-08-13,2026-08-21,567.5,C,5.9,11.3,8.6,32.4409,0.509588,0.014645,-0.707071,0.334809,8,567.04,8,46,97.19
MA,2026-08-13,2026-08-21,570.0,C,3.8,9.8,6.8,31.5009,0.471734,0.015048,-0.68391,0.334065,8,567.04,158,259,97.19
MA,2026-08-13,2026-08-21,575.0,C,3.8,5.0,4.4,23.4444,0.359092,0.018992,-0.479981,0.313792,8,567.04,47,418,97.19
MA,2026-08-13,2026-08-21,580.0,C,1.8,7.3,4.55,35.4804,0.348825,0.01242,-0.708068,0.310562,8,567.04,16,617,97.19
MA,2026-08-13,2026-08-21,585.0,C,0.5,3.6,2.05,28.1379,0.239406,0.013143,-0.471781,0.26062,8,567.04,13,556,97.19
MA,2026-08-13,2026-08-21,590.0,C,0.3,2.0,1.15,25.6721,0.157691,0.011183,-0.333522,0.20232,8,567.04,6,161,97.19
MA,2026-08-13,2026-08-21,595.0,C,0.05,1.65,0.85,27.3872,0.125734,0.00899,-0.304105,0.173519,8,567.04,3,165,97.19
MA,2026-08-13,2026-08-21,600.0,C,0.05,0.3,0.175,20.5086,0.034461,0.004431,-0.084053,0.064046,8,567.04,38,951,97.19
MA,2026-08-13,2026-08-21,605.0,C,0.0,8.6,4.3,61.9083,0.2571,0.006205,-1.061516,0.270722,8,567.04,3,398,97.19
MA,2026-08-13,2026-08-21,610.0,C,0.0,8.6,4.3,65.8817,0.244579,0.005679,-1.098948,0.26366,8,567.04,23,282,97.19
MA,2026-08-13,2026-08-21,615.0,C,0.0,0.05,0.025,21.2898,0.005631,0.000899,-0.018273,0.013492,8,567.04,29,100,97.19
MA,2026-08-13,2026-08-21,620.0,C,0.0,5.7,2.85,62.3539,0.180806,0.005027,-0.870776,0.220899,8,567.04,22,557,97.19
MA,2026-08-13,2026-08-21,625.0,C,0.0,3.7,1.85,56.7753,0.134328,0.00454,-0.651974,0.181645,8,567.04,2,497,97.19
MA,2026-08-13,2026-08-21,630.0,C,0.0,8.6,4.3,62.7689,0.140554,0.004235,-0.742712,0.187351,8,567.04,1,95,97.19
MA,2026-08-13,2026-08-21,635.0,C,0.0,8.6,4.3,65.8573,0.134817,0.003924,-0.756925,0.182098,8,567.04,1,25,97.19
MA,2026-08-13,2026-08-21,640.0,C,0.0,8.6,4.3,68.8724,0.129632,0.003652,-0.770032,0.17724,8,567.04,3,21,97.19
MA,2026-08-13,2026-08-21,645.0,C,0.0,8.6,4.3,71.8265,0.124941,0.003413,-0.782347,0.172754,8,567.04,43,43,97.19
MA,2026-08-13,2026-08-21,650.0,C,0.0,2.7,1.35,55.6889,0.054238,0.002353,-0.324484,0.092361,8,567.04,3,31,97.19
MA,2026-08-13,2026-08-21,660.0,C,0.0,8.6,4.3,80.3713,0.113229,0.002845,-0.815668,0.161154,8,567.04,152,156,97.19
MA,2026-08-13,2026-08-21,670.0,C,0.0,8.6,4.3,85.8156,0.106867,0.002556,-0.835016,0.154605,8,567.04,2,8,97.19
MA,2026-08-13,2026-08-21,740.0,C,0.0,8.5,4.25,119.4096,0.078837,0.001467,-0.925344,0.123427,8,567.04,1,18,97.19
MA,2026-08-13,2026-08-21,250.0,P,0.0,8.5,4.25,324.0236,-0.025661,0.00022,-1.013778,0.050148,8,567.04,18,22,97.19
MA,2026-08-13,2026-08-21,280.0,P,0.0,8.5,4.25,284.3265,-0.029462,0.000281,-0.997906,0.056269,8,567.04,16,20,97.19
