symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
META,2026-07-01,2026-07-08,485.0,C,125.6,132.25,128.925,87.8907,0.976692,0.000739,-0.34124,0.046771,7,612.91,16,1,
META,2026-07-01,2026-07-08,487.5,C,123.1,129.75,126.425,86.2794,0.976241,0.000765,-0.340768,0.047532,7,612.91,44,6,
META,2026-07-01,2026-07-08,490.0,C,120.6,127.25,123.925,84.6437,0.97581,0.000791,-0.33981,0.048255,7,612.91,4,10,
META,2026-07-01,2026-07-08,492.5,C,118.15,124.75,121.45,83.3986,0.974867,0.000829,-0.345089,0.049829,7,612.91,24,12,
META,2026-07-01,2026-07-08,495.0,C,115.65,122.25,118.95,81.7873,0.97437,0.00086,-0.344385,0.050652,7,612.91,10,11,
META,2026-07-01,2026-07-08,497.5,C,113.15,119.75,116.45,80.176,0.973862,0.000891,-0.343585,0.051491,7,612.91,64,15,
META,2026-07-01,2026-07-08,510.0,C,100.7,107.3,104.0,72.8274,0.969943,0.001102,-0.350623,0.057844,7,612.91,4,3,
META,2026-07-01,2026-07-08,520.0,C,90.75,97.35,94.05,67.0413,0.965976,0.001327,-0.357333,0.064079,7,612.91,0,8,
META,2026-07-01,2026-07-08,527.5,C,83.3,89.95,86.625,63.0863,0.961597,0.001557,-0.369805,0.070757,7,612.91,3,3,
META,2026-07-01,2026-07-08,530.0,C,80.85,87.45,84.15,61.7435,0.960013,0.001644,-0.37361,0.073124,7,612.91,5,18,
META,2026-07-01,2026-07-08,535.0,C,75.9,82.55,79.225,59.2778,0.955977,0.001851,-0.386044,0.079043,7,612.91,2,32,
META,2026-07-01,2026-07-08,537.5,C,73.45,80.05,76.75,57.8862,0.954169,0.001958,-0.389087,0.081646,7,612.91,28,11,
META,2026-07-01,2026-07-08,540.0,C,70.95,77.6,74.275,56.4946,0.952241,0.002073,-0.392177,0.08439,7,612.91,4,10,
META,2026-07-01,2026-07-08,542.5,C,68.5,75.15,71.825,55.3105,0.949571,0.002212,-0.399929,0.088138,7,612.91,9,23,
META,2026-07-01,2026-07-08,545.0,C,66.05,72.7,69.375,54.102,0.946769,0.002361,-0.407355,0.092009,7,612.91,4,45,
META,2026-07-01,2026-07-08,547.5,C,63.65,70.3,66.975,53.272,0.942517,0.002547,-0.423785,0.097766,7,612.91,12,35,
META,2026-07-01,2026-07-08,550.0,C,61.2,67.85,64.525,52.0024,0.939393,0.00272,-0.430367,0.10191,7,612.91,39,210,
META,2026-07-01,2026-07-08,552.5,C,58.75,65.45,62.1,50.8916,0.935445,0.00292,-0.440964,0.107049,7,612.91,8,46,
