symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
MRK,2026-08-27,2026-09-04,105.0,C,47.25,49.9,48.575,139.2581,0.973582,0.001939,-0.130911,0.013873,8,153.1,5,5,59.81
MRK,2026-08-27,2026-09-04,114.0,C,37.95,41.0,39.475,108.2036,0.972949,0.002546,-0.106764,0.01415,8,153.1,1,1,59.81
MRK,2026-08-27,2026-09-04,115.0,C,37.45,40.0,38.725,117.0414,0.959313,0.003294,-0.155808,0.019804,8,153.1,2,3,59.81
MRK,2026-08-27,2026-09-04,117.0,C,35.15,37.95,36.55,103.8091,0.966516,0.003167,-0.120837,0.016888,8,153.1,0,1,59.81
MRK,2026-08-27,2026-09-04,118.0,C,34.25,37.0,35.625,104.395,0.96142,0.003536,-0.13503,0.018966,8,153.1,1,1,59.81
MRK,2026-08-27,2026-09-04,119.0,C,33.1,36.0,34.55,98.4375,0.964648,0.003492,-0.120079,0.017658,8,153.1,1,2,59.81
MRK,2026-08-27,2026-09-04,120.0,C,32.2,35.0,33.6,97.8516,0.960759,0.003825,-0.129082,0.01923,8,153.1,1,5,59.81
MRK,2026-08-27,2026-09-04,121.0,C,31.25,34.0,32.625,96.0938,0.958256,0.004096,-0.132977,0.02022,8,153.1,1,3,59.81
MRK,2026-08-27,2026-09-04,122.0,C,30.35,32.9,31.625,93.4083,0.957011,0.004315,-0.132505,0.020707,8,153.1,1,5,59.81
MRK,2026-08-27,2026-09-04,123.0,C,29.25,31.9,30.575,88.7696,0.958856,0.004382,-0.122627,0.019984,8,153.1,1,1,59.81
MRK,2026-08-27,2026-09-04,124.0,C,28.6,30.9,29.75,92.3829,0.946915,0.005166,-0.153212,0.024517,8,153.1,1,5,59.81
MRK,2026-08-27,2026-09-04,125.0,C,27.25,29.9,28.575,83.3986,0.956425,0.004886,-0.121035,0.020934,8,153.1,1,39,59.81
MRK,2026-08-27,2026-09-04,126.0,C,26.35,28.9,27.625,82.6174,0.951592,0.005367,-0.129567,0.02278,8,153.1,1,6,59.81
MRK,2026-08-27,2026-09-04,127.0,C,25.45,27.9,26.675,81.6408,0.946681,0.005866,-0.137492,0.024602,8,153.1,2,2,59.81
MRK,2026-08-27,2026-09-04,128.0,C,24.35,27.0,25.675,78.9065,0.944995,0.00622,-0.13639,0.025216,8,153.1,1,22,59.81
MRK,2026-08-27,2026-09-04,129.0,C,23.2,26.0,24.6,73.7307,0.948566,0.006312,-0.122373,0.023909,8,153.1,1,19,59.81
MRK,2026-08-27,2026-09-04,130.0,C,22.3,25.0,23.65,72.7542,0.94293,0.006945,-0.130248,0.02596,8,153.1,1,368,59.81
MRK,2026-08-27,2026-09-04,131.0,C,21.5,23.45,22.475,64.1605,0.955172,0.006498,-0.098399,0.021418,8,153.1,1,303,59.81
MRK,2026-08-27,2026-09-04,132.0,C,20.25,22.95,21.6,65.8695,0.942682,0.007697,-0.119645,0.026048,8,153.1,4,445,59.81
MRK,2026-08-27,2026-09-04,133.0,C,19.3,22.05,20.675,65.43,0.934443,0.008606,-0.130681,0.02893,8,153.1,2,21,59.81
MRK,2026-08-27,2026-09-04,134.0,C,18.3,21.0,19.65,62.0609,0.933842,0.009138,-0.125479,0.029135,8,153.1,1,11,59.81
MRK,2026-08-27,2026-09-04,135.0,C,17.2,19.65,18.425,52.4419,0.952519,0.008326,-0.086397,0.022431,8,153.1,2,389,59.81
MRK,2026-08-27,2026-09-04,136.0,C,16.3,18.25,17.275,70.264,0.884608,0.012217,-0.20553,0.044102,8,153.1,1,48,59.81
MRK,2026-08-27,2026-09-04,137.0,C,15.65,17.25,16.45,67.2122,0.879904,0.013138,-0.20246,0.045367,8,153.1,2,110,59.81
MRK,2026-08-27,2026-09-04,138.0,C,14.25,16.7,15.475,72.095,0.849387,0.014307,-0.25025,0.052992,8,153.1,11,31,59.81
MRK,2026-08-27,2026-09-04,139.0,C,13.7,15.3,14.5,62.0121,0.865877,0.015378,-0.201747,0.048992,8,153.1,5,111,59.81
MRK,2026-08-27,2026-09-04,140.0,C,12.3,14.0,13.15,53.4184,0.881164,0.016408,-0.162569,0.04503,8,153.1,1,107,59.81
MRK,2026-08-27,2026-09-04,141.0,C,11.65,13.4,12.525,57.4467,0.846158,0.01821,-0.204712,0.053743,8,153.1,88,83,59.81
MRK,2026-08-27,2026-09-04,142.0,C,10.5,12.55,11.525,56.6166,0.828816,0.019807,-0.215435,0.057612,8,153.1,1,56,59.81
MRK,2026-08-27,2026-09-04,143.0,C,9.55,11.6,10.575,54.0776,0.816624,0.021658,-0.214847,0.060171,8,153.1,12,14,59.81
MRK,2026-08-27,2026-09-04,144.0,C,8.8,10.65,9.725,51.4409,0.803262,0.023774,-0.213367,0.062829,8,153.1,1,23,59.81
MRK,2026-08-27,2026-09-04,145.0,C,7.75,9.75,8.75,49.4146,0.78543,0.026057,-0.215483,0.066151,8,153.1,12,10,59.81
MRK,2026-08-27,2026-09-04,146.0,C,6.65,8.9,7.775,47.8765,0.763247,0.028435,-0.220202,0.069939,8,153.1,2,13,59.81
MRK,2026-08-27,2026-09-04,147.0,C,5.8,8.05,6.925,46.1187,0.739394,0.031067,-0.222814,0.073609,8,153.1,2,5,59.81
MRK,2026-08-27,2026-09-04,148.0,C,5.4,7.15,6.275,43.5553,0.715724,0.034348,-0.219589,0.076858,8,153.1,1,21,59.81
MRK,2026-08-27,2026-09-04,150.0,C,3.9,5.1,4.5,34.9982,0.668696,0.045725,-0.189678,0.082214,8,153.1,3,130,59.81
MRK,2026-08-27,2026-09-04,152.5,C,2.75,3.55,3.15,33.863,0.54757,0.051607,-0.198143,0.08978,8,153.1,119,132,59.81
MRK,2026-08-27,2026-09-04,155.0,C,1.65,2.1,1.875,30.6037,0.408379,0.055989,-0.174496,0.088029,8,153.1,1557,194,59.81
MRK,2026-08-27,2026-09-04,157.5,C,0.82,1.33,1.075,31.2019,0.283398,0.047876,-0.153923,0.076744,8,153.1,142,64,59.81
MRK,2026-08-27,2026-09-04,160.0,C,0.5,0.87,0.685,32.6911,0.192172,0.036879,-0.129447,0.061938,8,153.1,81,1406,59.81
MRK,2026-08-27,2026-09-04,162.5,C,0.32,0.6,0.46,34.7663,0.132159,0.027153,-0.107374,0.048498,8,153.1,64,601,59.81
MRK,2026-08-27,2026-09-04,165.0,C,0.0,0.37,0.185,35.5475,0.08369,0.019089,-0.078717,0.034861,8,153.1,7,32,59.81
MRK,2026-08-27,2026-09-04,167.5,C,0.0,0.56,0.28,45.313,0.097766,0.016807,-0.112275,0.039126,8,153.1,2,1,59.81
MRK,2026-08-27,2026-09-04,170.0,C,0.0,0.12,0.06,36.3288,0.028397,0.007895,-0.033886,0.014735,8,153.1,76,574,59.81
MRK,2026-08-27,2026-09-04,172.5,C,0.0,0.17,0.085,42.9693,0.033556,0.007664,-0.045941,0.016918,8,153.1,0,1,59.81
MRK,2026-08-27,2026-09-04,175.0,C,0.0,0.22,0.11,49.4146,0.037548,0.007307,-0.057858,0.018551,8,153.1,0,21,59.81
MRK,2026-08-27,2026-09-04,180.0,C,0.0,0.85,0.425,65.6253,0.053794,0.007349,-0.102418,0.024776,8,153.1,4,6,59.81
MRK,2026-08-27,2026-09-04,220.0,C,0.0,2.13,1.065,147.4612,0.060838,0.003603,-0.252419,0.027295,8,153.1,2,2,59.81
MRK,2026-08-27,2026-09-04,225.0,C,0.0,2.13,1.065,154.2483,0.058411,0.003336,-0.255697,0.026438,8,153.1,2,2,59.81
MRK,2026-08-27,2026-09-04,100.0,P,0.0,2.13,1.065,182.5196,-0.043234,0.002218,-0.236544,0.020802,8,153.1,1,1,59.81
MRK,2026-08-27,2026-09-04,105.0,P,0.0,2.13,1.065,165.2345,-0.047728,0.002653,-0.231787,0.022524,8,153.1,2,5,59.81
MRK,2026-08-27,2026-09-04,110.0,P,0.0,0.83,0.415,121.3871,-0.026553,0.002234,-0.105262,0.013933,8,153.1,2,31,59.81
MRK,2026-08-27,2026-09-04,114.0,P,0.0,1.12,0.56,117.1879,-0.036635,0.00302,-0.132557,0.018181,8,153.1,3,7,59.81
MRK,2026-08-27,2026-09-04,115.0,P,0.0,2.13,1.065,132.5199,-0.059287,0.003929,-0.220542,0.026748,8,153.1,2,3,59.81
MRK,2026-08-27,2026-09-04,116.0,P,0.0,2.13,1.065,129.3461,-0.060677,0.004099,-0.219175,0.027238,8,153.1,2,3,59.81
MRK,2026-08-27,2026-09-04,117.0,P,0.0,2.13,1.065,126.2211,-0.062165,0.004281,-0.217938,0.027759,8,153.1,2,104,59.81
MRK,2026-08-27,2026-09-04,118.0,P,0.0,1.53,0.765,113.5258,-0.050687,0.004052,-0.166835,0.023632,8,153.1,2,6,59.81
MRK,2026-08-27,2026-09-04,119.0,P,0.0,1.26,0.63,105.7622,-0.045259,0.003972,-0.141922,0.021584,8,153.1,2,20,59.81
MRK,2026-08-27,2026-09-04,120.0,P,0.0,1.26,0.63,102.9302,-0.046471,0.004169,-0.141063,0.022047,8,153.1,10,46,59.81
MRK,2026-08-27,2026-09-04,121.0,P,0.0,1.07,0.535,96.5332,-0.042393,0.004128,-0.122832,0.020474,8,153.1,1,9,59.81
MRK,2026-08-27,2026-09-04,122.0,P,0.0,1.41,0.705,99.9023,-0.053188,0.004784,-0.152438,0.024554,8,153.1,9,11,59.81
MRK,2026-08-27,2026-09-04,123.0,P,0.0,1.4,0.7,96.875,-0.054392,0.005022,-0.150431,0.024993,8,153.1,9,13,59.81
MRK,2026-08-27,2026-09-04,124.0,P,0.0,1.11,0.555,89.0626,-0.047374,0.004893,-0.123856,0.02239,8,153.1,2,6,59.81
MRK,2026-08-27,2026-09-04,125.0,P,0.0,0.14,0.07,59.766,-0.00951,0.001883,-0.021445,0.005782,8,153.1,1,33,59.81
MRK,2026-08-27,2026-09-04,126.0,P,0.0,0.58,0.29,72.9495,-0.03107,0.004236,-0.071885,0.015877,8,153.1,10,56,59.81
MRK,2026-08-27,2026-09-04,127.0,P,0.0,0.2,0.1,58.5942,-0.013647,0.002629,-0.028759,0.007912,8,153.1,5,15,59.81
MRK,2026-08-27,2026-09-04,128.0,P,0.0,0.74,0.37,71.5335,-0.039939,0.005308,-0.086571,0.019508,8,153.1,3,8,59.81
MRK,2026-08-27,2026-09-04,129.0,P,0.0,0.93,0.465,72.5589,-0.048891,0.00616,-0.103338,0.022962,8,153.1,4,48,59.81
MRK,2026-08-27,2026-09-04,130.0,P,0.0,0.09,0.045,51.3677,-0.013926,0.003051,-0.025629,0.008052,8,153.1,4,92,59.81
MRK,2026-08-27,2026-09-04,131.0,P,0.0,1.05,0.525,69.2874,-0.057175,0.007303,-0.111654,0.025997,8,153.1,6,17,59.81
MRK,2026-08-27,2026-09-04,132.0,P,0.0,0.7,0.35,60.7426,-0.044289,0.006797,-0.079812,0.02121,8,153.1,2,11,59.81
MRK,2026-08-27,2026-09-04,133.0,P,0.0,0.85,0.425,60.8402,-0.052986,0.007832,-0.092234,0.02448,8,153.1,2,30,59.81
MRK,2026-08-27,2026-09-04,134.0,P,0.0,0.62,0.31,54.2973,-0.043826,0.00754,-0.070671,0.021032,8,153.1,8,26,59.81
MRK,2026-08-27,2026-09-04,135.0,P,0.0,0.62,0.31,51.856,-0.045727,0.008169,-0.069803,0.021763,8,153.1,4,50,59.81
