symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
MSFT,2026-06-11,2026-06-18,175.0,C,214.35,217.25,215.8,246.2894,0.994209,0.000124,-0.173784,0.008906,7,390.34,60,406,
MSFT,2026-06-11,2026-06-18,180.0,C,208.75,212.45,210.6,221.0942,0.996357,9.1e-05,-0.110709,0.00589,7,390.34,2,1,
MSFT,2026-06-11,2026-06-18,185.0,C,203.4,207.45,205.425,188.2813,0.998635,4.4e-05,-0.050837,0.00242,7,390.34,1,1,
MSFT,2026-06-11,2026-06-18,190.0,C,198.85,202.45,200.65,211.5239,0.99543,0.000117,-0.127654,0.007215,7,390.34,1,1,
MSFT,2026-06-11,2026-06-18,195.0,C,193.8,197.5,195.65,204.4927,0.995267,0.000125,-0.127861,0.007443,7,390.34,60,0,
MSFT,2026-06-11,2026-06-18,200.0,C,189.1,192.5,190.8,208.4966,0.993106,0.000171,-0.174325,0.010393,7,390.34,5,30,
MSFT,2026-06-11,2026-06-18,210.0,C,200.1,204.1,202.1,489.8441,0.895086,0.000686,-3.452075,0.098235,7,390.34,1,0,
MSFT,2026-06-11,2026-06-18,215.0,C,173.85,177.5,175.675,179.8829,0.994155,0.000171,-0.136461,0.00898,7,390.34,1,1,
MSFT,2026-06-11,2026-06-18,220.0,C,168.5,172.45,170.475,155.0783,0.997286,0.0001,-0.071753,0.004518,7,390.34,60,1,
MSFT,2026-06-11,2026-06-18,225.0,C,163.45,167.5,165.475,149.4143,0.997191,0.000107,-0.071939,0.00466,7,390.34,10,0,
MSFT,2026-06-11,2026-06-18,230.0,C,158.9,162.5,160.7,162.9885,0.99304,0.00022,-0.144537,0.01048,7,390.34,100,4,
MSFT,2026-06-11,2026-06-18,235.0,C,175.2,179.15,177.175,423.6943,0.876848,0.000889,-3.349443,0.110123,7,390.34,4,8,
MSFT,2026-06-11,2026-06-18,240.0,C,149.15,152.55,150.85,159.0822,0.989858,0.000314,-0.189114,0.014585,7,390.34,1,10,
MSFT,2026-06-11,2026-06-18,245.0,C,143.95,147.55,145.75,148.1448,0.991254,0.000296,-0.159525,0.012813,7,390.34,2,30,
MSFT,2026-06-11,2026-06-18,250.0,C,138.95,142.55,140.75,142.4808,0.99087,0.00032,-0.159834,0.013306,7,390.34,25,244,
MSFT,2026-06-11,2026-06-18,255.0,C,133.85,137.55,135.7,134.2777,0.99149,0.000319,-0.144927,0.01251,7,390.34,1,1,
MSFT,2026-06-11,2026-06-18,260.0,C,129.15,132.55,130.85,135.7425,0.988066,0.000424,-0.188218,0.016803,7,390.34,2,13,
MSFT,2026-06-11,2026-06-18,265.0,C,124.15,127.55,125.85,130.0785,0.98758,0.000458,-0.187398,0.017395,7,390.34,4,10,
MSFT,2026-06-11,2026-06-18,270.0,C,119.2,122.6,120.9,126.4652,0.98596,0.000523,-0.200889,0.019338,7,390.34,1,27,
MSFT,2026-06-11,2026-06-18,275.0,C,114.25,117.6,115.925,121.8754,0.984756,0.000583,-0.20735,0.020757,7,390.34,1,35,
MSFT,2026-06-11,2026-06-18,280.0,C,109.4,112.4,110.9,115.5766,0.984616,0.000619,-0.199849,0.02092,7,390.34,6,726,
MSFT,2026-06-11,2026-06-18,290.0,C,99.35,102.4,100.875,104.1997,0.983665,0.000723,-0.192026,0.022025,7,390.34,3,397,
MSFT,2026-06-11,2026-06-18,295.0,C,94.2,97.45,95.825,97.4121,0.984163,0.000753,-0.17785,0.021448,7,390.34,139,425,
MSFT,2026-06-11,2026-06-18,300.0,C,89.6,92.45,91.025,98.0469,0.977874,0.000995,-0.228511,0.028509,7,390.34,16,932,
MSFT,2026-06-11,2026-06-18,305.0,C,84.35,87.5,85.925,90.2345,0.979439,0.001016,-0.202112,0.026794,7,390.34,1,65,
MSFT,2026-06-11,2026-06-18,310.0,C,79.6,82.45,81.025,87.671,0.975263,0.001222,-0.225839,0.031314,7,390.34,13,133,
MSFT,2026-06-11,2026-06-18,315.0,C,74.4,77.5,75.95,80.8107,0.976057,0.00129,-0.206143,0.030468,7,390.34,1,73,
MSFT,2026-06-11,2026-06-18,320.0,C,69.45,72.5,70.975,76.3674,0.973704,0.001477,-0.210465,0.032959,7,390.34,8,340,
MSFT,2026-06-11,2026-06-18,325.0,C,64.5,67.55,66.025,72.4612,0.970128,0.001731,-0.22073,0.036651,7,390.34,1,184,
MSFT,2026-06-11,2026-06-18,330.0,C,59.7,62.55,61.125,69.3118,0.964439,0.002089,-0.240807,0.042317,7,390.34,3,404,
MSFT,2026-06-11,2026-06-18,335.0,C,54.35,57.55,55.95,61.0355,0.968505,0.002147,-0.198907,0.038292,7,390.34,2,262,
MSFT,2026-06-11,2026-06-18,340.0,C,49.65,52.65,51.15,59.5707,0.957587,0.002806,-0.239874,0.048848,7,390.34,139,275,
MSFT,2026-06-11,2026-06-18,345.0,C,44.85,47.7,46.275,56.2993,0.948616,0.003463,-0.261288,0.056977,7,390.34,1,294,
MSFT,2026-06-11,2026-06-18,350.0,C,39.95,42.8,41.375,52.3686,0.939428,0.004239,-0.27496,0.064873,7,390.34,200,1013,
MSFT,2026-06-11,2026-06-18,355.0,C,35.0,37.75,36.375,59.9735,0.883472,0.006044,-0.48422,0.105913,7,390.34,155,282,
MSFT,2026-06-11,2026-06-18,360.0,C,30.05,33.1,31.575,56.3725,0.860906,0.007272,-0.512431,0.119787,7,390.34,179,1646,
MSFT,2026-06-11,2026-06-18,365.0,C,25.25,28.45,26.85,52.2588,0.834785,0.008795,-0.530856,0.134299,7,390.34,48,941,
MSFT,2026-06-11,2026-06-18,370.0,C,20.75,23.7,22.225,47.0342,0.806435,0.010795,-0.527381,0.148369,7,390.34,67,2682,
MSFT,2026-06-11,2026-06-18,375.0,C,16.85,18.75,17.8,40.2472,0.776269,0.013741,-0.492814,0.161602,7,390.34,149,1737,
MSFT,2026-06-11,2026-06-18,380.0,C,13.65,14.75,14.2,37.8546,0.709384,0.016745,-0.52687,0.185221,7,390.34,890,2259,
MSFT,2026-06-11,2026-06-18,385.0,C,10.15,11.2,10.675,36.0602,0.623513,0.019477,-0.551707,0.205233,7,390.34,1149,1302,
MSFT,2026-06-11,2026-06-18,390.0,C,7.45,8.15,7.8,34.6259,0.522583,0.02128,-0.551992,0.215307,7,390.34,7701,5900,
MSFT,2026-06-11,2026-06-18,395.0,C,5.55,5.7,5.625,33.6799,0.414406,0.021406,-0.522339,0.21067,7,390.34,6221,2867,
MSFT,2026-06-11,2026-06-18,397.5,C,4.45,5.05,4.75,34.9616,0.368109,0.019945,-0.522636,0.203758,7,390.34,985,56,
MSFT,2026-06-11,2026-06-18,400.0,C,3.85,4.05,3.95,34.1315,0.316018,0.01928,-0.480681,0.192292,7,390.34,8412,11184,
MSFT,2026-06-11,2026-06-18,402.5,C,3.2,3.5,3.35,34.9494,0.275831,0.017688,-0.461319,0.180638,7,390.34,566,476,
MSFT,2026-06-11,2026-06-18,405.0,C,2.65,2.86,2.755,34.8517,0.234114,0.016277,-0.421487,0.165769,7,390.34,1866,3981,
MSFT,2026-06-11,2026-06-18,407.5,C,2.05,2.39,2.22,35.2179,0.199475,0.014683,-0.38762,0.151098,7,390.34,799,555,
MSFT,2026-06-11,2026-06-18,410.0,C,1.8,1.93,1.865,35.1813,0.166033,0.013106,-0.344835,0.134728,7,390.34,6504,6550,
MSFT,2026-06-11,2026-06-18,412.5,C,1.51,1.65,1.58,35.9137,0.141994,0.011575,-0.316983,0.121476,7,390.34,2203,951,
MSFT,2026-06-11,2026-06-18,415.0,C,1.2,1.35,1.275,36.1335,0.117942,0.010117,-0.280162,0.106821,7,390.34,2177,10105,
MSFT,2026-06-11,2026-06-18,417.5,C,1.01,1.14,1.075,36.7194,0.099618,0.008817,-0.251895,0.094603,7,390.34,1007,1294,
MSFT,2026-06-11,2026-06-18,420.0,C,0.86,0.91,0.885,36.7682,0.080876,0.007542,-0.215864,0.081027,7,390.34,5642,28010,
MSFT,2026-06-11,2026-06-18,422.5,C,0.7,0.79,0.745,37.6227,0.069415,0.006559,-0.196419,0.072113,7,390.34,308,702,
MSFT,2026-06-11,2026-06-18,425.0,C,0.6,0.66,0.63,38.0866,0.057818,0.00562,-0.172353,0.062549,7,390.34,1436,7773,
MSFT,2026-06-11,2026-06-18,427.5,C,0.48,0.57,0.525,38.8434,0.049401,0.004865,-0.155074,0.055217,7,390.34,220,1372,
MSFT,2026-06-11,2026-06-18,430.0,C,0.43,0.48,0.455,39.3561,0.041329,0.004159,-0.136036,0.047834,7,390.34,2507,15884,
MSFT,2026-06-11,2026-06-18,432.5,C,0.35,0.41,0.38,39.9908,0.035014,0.003576,-0.12068,0.041783,7,390.34,309,1705,
MSFT,2026-06-11,2026-06-18,435.0,C,0.31,0.35,0.33,40.5768,0.029558,0.003064,-0.106419,0.036331,7,390.34,362,5556,
MSFT,2026-06-11,2026-06-18,437.5,C,0.25,0.31,0.28,41.4068,0.02569,0.002671,-0.09657,0.032322,7,390.34,369,1260,
MSFT,2026-06-11,2026-06-18,440.0,C,0.22,0.27,0.245,42.0904,0.022033,0.00231,-0.08624,0.028407,7,390.34,2661,14885,
MSFT,2026-06-11,2026-06-18,442.5,C,0.19,0.24,0.215,42.9205,0.019287,0.002023,-0.078534,0.025378,7,390.34,50,2883,
MSFT,2026-06-11,2026-06-18,445.0,C,0.19,0.21,0.2,43.5553,0.016541,0.001749,-0.069887,0.022262,7,390.34,415,8928,
MSFT,2026-06-11,2026-06-18,447.5,C,0.12,0.27,0.195,46.9732,0.019815,0.001892,-0.087876,0.025967,7,390.34,32,639,
MSFT,2026-06-11,2026-06-18,450.0,C,0.15,0.16,0.155,44.8248,0.012256,0.001313,-0.055522,0.017196,7,390.34,3832,40461,
MSFT,2026-06-11,2026-06-18,455.0,C,0.11,0.15,0.13,47.3638,0.01091,0.001123,-0.052999,0.015544,7,390.34,659,6799,
MSFT,2026-06-11,2026-06-18,460.0,C,0.11,0.12,0.115,48.731,0.008442,0.000872,-0.043559,0.012422,7,390.34,2711,16886,
MSFT,2026-06-11,2026-06-18,465.0,C,0.07,0.15,0.11,50.8794,0.007367,0.000741,-0.040327,0.01102,7,390.34,454,6469,
MSFT,2026-06-11,2026-06-18,470.0,C,0.06,0.1,0.08,51.563,0.005304,0.000547,-0.030542,0.008238,7,390.34,1278,18529,
MSFT,2026-06-11,2026-06-18,475.0,C,0.0,0.25,0.125,57.1293,0.007491,0.00067,-0.045918,0.011183,7,390.34,160,12044,
MSFT,2026-06-11,2026-06-18,480.0,C,0.05,0.09,0.07,55.6645,0.00421,0.000412,-0.026818,0.006705,7,390.34,894,40000,
MSFT,2026-06-11,2026-06-18,485.0,C,0.03,0.09,0.06,57.227,0.003558,0.000345,-0.023701,0.005765,7,390.34,128,7916,
MSFT,2026-06-11,2026-06-18,490.0,C,0.02,0.05,0.035,56.2504,0.002045,0.000213,-0.014128,0.003497,7,390.34,196,4106,
MSFT,2026-06-11,2026-06-18,495.0,C,0.03,0.17,0.1,65.5277,0.005165,0.00042,-0.037851,0.008045,7,390.34,172,3126,
MSFT,2026-06-11,2026-06-18,500.0,C,0.03,0.06,0.045,62.1098,0.002346,0.000218,-0.01766,0.003961,7,390.34,1935,30603,
MSFT,2026-06-11,2026-06-18,505.0,C,0.02,0.27,0.145,73.4378,0.006668,0.00047,-0.053185,0.010091,7,390.34,66,1982,
MSFT,2026-06-11,2026-06-18,510.0,C,0.0,0.05,0.025,62.891,0.00127,0.000123,-0.010224,0.002265,7,390.34,7,4233,
MSFT,2026-06-11,2026-06-18,515.0,C,0.0,0.08,0.04,67.9691,0.001926,0.000167,-0.016155,0.003313,7,390.34,1,3309,
MSFT,2026-06-11,2026-06-18,520.0,C,0.01,0.04,0.025,67.1878,0.001229,0.000112,-0.010597,0.002198,7,390.34,36,8631,
MSFT,2026-06-11,2026-06-18,525.0,C,0.0,0.03,0.015,65.6253,0.000668,6.5e-05,-0.005912,0.001256,7,390.34,10,5088,
MSFT,2026-06-11,2026-06-18,530.0,C,0.0,0.04,0.02,69.5316,0.000901,8.1e-05,-0.008249,0.001654,7,390.34,44,9253,
MSFT,2026-06-11,2026-06-18,535.0,C,0.01,0.13,0.07,80.6643,0.00289,0.000203,-0.027661,0.004782,7,390.34,10,1560,
MSFT,2026-06-11,2026-06-18,540.0,C,0.01,0.06,0.035,77.344,0.001489,0.000116,-0.014529,0.00262,7,390.34,35,3079,
MSFT,2026-06-11,2026-06-18,545.0,C,0.0,0.15,0.075,85.3517,0.002901,0.000192,-0.02936,0.004798,7,390.34,6,1937,
MSFT,2026-06-11,2026-06-18,550.0,C,0.0,0.02,0.01,72.6565,0.000403,3.7e-05,-0.004098,0.000787,7,390.34,37,11350,
MSFT,2026-06-11,2026-06-18,555.0,C,0.0,0.15,0.075,89.4532,0.002773,0.000176,-0.029536,0.004606,7,390.34,20,1157,
MSFT,2026-06-11,2026-06-18,560.0,C,0.0,0.01,0.005,71.8753,0.000179,1.8e-05,-0.001903,0.000369,7,390.34,12,5059,
MSFT,2026-06-11,2026-06-18,565.0,C,0.0,0.25,0.125,98.7305,0.004253,0.000235,-0.047871,0.006766,7,390.34,60,1321,
MSFT,2026-06-11,2026-06-18,570.0,C,0.0,0.04,0.02,84.3752,0.000747,5.6e-05,-0.008415,0.001392,7,390.34,1,4355,
MSFT,2026-06-11,2026-06-18,575.0,C,0.0,0.03,0.015,84.3752,0.000576,4.4e-05,-0.006618,0.001094,7,390.34,5,2400,
MSFT,2026-06-11,2026-06-18,580.0,C,0.0,0.01,0.005,78.1252,0.000159,1.5e-05,-0.001854,0.000331,7,390.34,25,4473,
MSFT,2026-06-11,2026-06-18,585.0,C,0.0,1.78,0.89,138.4769,0.022201,0.000707,-0.283591,0.02859,7,390.34,12,1716,
MSFT,2026-06-11,2026-06-18,590.0,C,0.0,0.01,0.005,81.2502,0.000154,1.3e-05,-0.001864,0.00032,7,390.34,2,4801,
MSFT,2026-06-11,2026-06-18,595.0,C,0.0,0.8,0.4,127.3441,0.010774,0.000413,-0.140245,0.015375,7,390.34,1,1233,
MSFT,2026-06-11,2026-06-18,600.0,C,0.0,0.01,0.005,84.3752,0.00015,1.3e-05,-0.001895,0.000313,7,390.34,10,16437,
MSFT,2026-06-11,2026-06-18,605.0,C,0.0,0.07,0.035,100.7817,0.001088,6.7e-05,-0.014201,0.001967,7,390.34,23,1592,
MSFT,2026-06-11,2026-06-18,610.0,C,0.0,0.23,0.115,115.2348,0.00333,0.000161,-0.044838,0.005432,7,390.34,2,1319,
MSFT,2026-06-11,2026-06-18,615.0,C,0.0,0.6,0.3,130.7621,0.007845,0.000305,-0.109067,0.011647,7,390.34,6,928,
MSFT,2026-06-11,2026-06-18,620.0,C,0.0,0.01,0.005,90.6251,0.000148,1.2e-05,-0.002008,0.000309,7,390.34,1,5043,
MSFT,2026-06-11,2026-06-18,625.0,C,0.0,0.06,0.03,106.2505,0.000901,5.3e-05,-0.012592,0.001655,7,390.34,1,2079,
MSFT,2026-06-11,2026-06-18,630.0,C,0.0,0.03,0.015,101.563,0.000437,2.9e-05,-0.006168,0.000848,7,390.34,2,1235,
MSFT,2026-06-11,2026-06-18,635.0,C,0.0,0.1,0.05,114.4536,0.001411,7.5e-05,-0.02045,0.002495,7,390.34,1,4184,
MSFT,2026-06-11,2026-06-18,640.0,C,0.0,0.6,0.3,140.43,0.007309,0.000267,-0.110039,0.010944,7,390.34,80,1422,
MSFT,2026-06-11,2026-06-18,645.0,C,0.0,0.05,0.025,110.9379,0.000717,4.1e-05,-0.010648,0.00134,7,390.34,52,887,
MSFT,2026-06-11,2026-06-18,650.0,C,0.01,0.02,0.015,107.813,0.000425,2.6e-05,-0.006375,0.000826,7,390.34,6,2753,
MSFT,2026-06-11,2026-06-18,655.0,C,0.0,0.16,0.08,126.3676,0.002076,9.6e-05,-0.03208,0.003546,7,390.34,2,211,
MSFT,2026-06-11,2026-06-18,660.0,C,0.0,0.02,0.01,107.813,0.000292,1.9e-05,-0.004508,0.000584,7,390.34,56,485,
MSFT,2026-06-11,2026-06-18,665.0,C,0.0,0.1,0.05,123.8285,0.001276,6.3e-05,-0.020179,0.002276,7,390.34,17,672,
MSFT,2026-06-11,2026-06-18,670.0,C,0.0,0.06,0.03,120.3129,0.000802,4.2e-05,-0.012804,0.001486,7,390.34,26,1298,
MSFT,2026-06-11,2026-06-18,675.0,C,0.0,0.01,0.005,106.2505,0.000134,9e-06,-0.002146,0.000282,7,390.34,116,1318,
