symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
ORCL,2026-08-21,2026-08-28,80.0,C,65.8,67.95,66.875,217.5786,0.984622,0.000877,-0.129833,0.007848,7,146.47,0,1,24.15
ORCL,2026-08-21,2026-08-28,85.0,C,60.55,63.4,61.975,206.2505,0.979841,0.001165,-0.153957,0.009887,7,146.47,56,59,24.15
ORCL,2026-08-21,2026-08-28,90.0,C,56.1,58.7,57.4,212.0122,0.964693,0.00181,-0.247607,0.015786,7,146.47,1,46,24.15
ORCL,2026-08-21,2026-08-28,95.0,C,49.95,53.35,51.65,142.1878,0.989298,0.00098,-0.067731,0.005736,7,146.47,1,16,24.15
ORCL,2026-08-21,2026-08-28,100.0,C,45.45,48.6,47.025,155.0783,0.970473,0.002135,-0.160555,0.013621,7,146.47,3,35,24.15
ORCL,2026-08-21,2026-08-28,105.0,C,40.3,43.7,42.0,137.1097,0.967967,0.002583,-0.152852,0.014571,7,146.47,82,40,24.15
ORCL,2026-08-21,2026-08-28,109.0,C,36.35,39.6,37.975,122.9496,0.965974,0.003027,-0.145019,0.015314,7,146.47,0,6,24.15
ORCL,2026-08-21,2026-08-28,110.0,C,34.95,38.7,36.825,111.7192,0.973365,0.00272,-0.110504,0.0125,7,146.47,1,85,24.15
ORCL,2026-08-21,2026-08-28,112.0,C,33.35,36.7,35.025,115.9184,0.960471,0.00363,-0.154088,0.017312,7,146.47,1,48,24.15
ORCL,2026-08-21,2026-08-28,113.0,C,32.35,35.4,33.875,105.5669,0.968026,0.00335,-0.120679,0.014549,7,146.47,1,71,24.15
ORCL,2026-08-21,2026-08-28,114.0,C,31.55,34.4,32.975,107.4223,0.961123,0.003864,-0.142014,0.017079,7,146.47,1,6,24.15
ORCL,2026-08-21,2026-08-28,115.0,C,30.45,33.35,31.9,100.8794,0.964572,0.003814,-0.125192,0.015831,7,146.47,2,63,24.15
ORCL,2026-08-21,2026-08-28,116.0,C,29.4,32.4,30.9,97.9492,0.963472,0.004028,-0.124771,0.016232,7,146.47,60,39,24.15
ORCL,2026-08-21,2026-08-28,117.0,C,28.45,31.4,29.925,96.0938,0.960796,0.004349,-0.129298,0.017196,7,146.47,80,45,24.15
ORCL,2026-08-21,2026-08-28,118.0,C,27.35,30.45,28.9,92.0899,0.961144,0.004506,-0.12367,0.017072,7,146.47,1,70,24.15
ORCL,2026-08-21,2026-08-28,119.0,C,26.65,29.45,28.05,95.2637,0.950088,0.00533,-0.153453,0.020891,7,146.47,20,23,24.15
ORCL,2026-08-21,2026-08-28,120.0,C,25.7,27.9,26.8,81.5432,0.966218,0.004538,-0.100333,0.015224,7,146.47,3,1114,24.15
ORCL,2026-08-21,2026-08-28,121.0,C,24.35,27.45,25.9,83.3009,0.957266,0.005381,-0.121351,0.018442,7,146.47,8,56,24.15
ORCL,2026-08-21,2026-08-28,122.0,C,23.45,26.45,24.95,82.4221,0.952025,0.005969,-0.130802,0.02024,7,146.47,20,100,24.15
ORCL,2026-08-21,2026-08-28,123.0,C,22.7,25.5,24.1,84.8146,0.939623,0.006958,-0.158649,0.024282,7,146.47,2,56,24.15
ORCL,2026-08-21,2026-08-28,124.0,C,22.2,24.45,23.325,88.5255,0.923002,0.008043,-0.196613,0.029294,7,146.47,1,35,24.15
ORCL,2026-08-21,2026-08-28,125.0,C,20.6,23.35,21.975,74.512,0.944598,0.007403,-0.13262,0.022694,7,146.47,107,215,24.15
ORCL,2026-08-21,2026-08-28,126.0,C,19.1,22.6,20.85,66.9925,0.953198,0.007199,-0.107024,0.019843,7,146.47,112,59,24.15
ORCL,2026-08-21,2026-08-28,127.0,C,18.55,21.9,20.225,76.2209,0.920848,0.009539,-0.174521,0.029913,7,146.47,45,116,24.15
ORCL,2026-08-21,2026-08-28,128.0,C,17.15,20.9,19.025,67.3343,0.933162,0.009486,-0.138363,0.026281,7,146.47,58,1295,24.15
ORCL,2026-08-21,2026-08-28,129.0,C,16.2,19.95,18.075,65.8207,0.926017,0.010493,-0.145548,0.028415,7,146.47,59,109,24.15
ORCL,2026-08-21,2026-08-28,130.0,C,16.3,17.6,16.95,59.0824,0.93416,0.010686,-0.121812,0.025976,7,146.47,165,1245,24.15
ORCL,2026-08-21,2026-08-28,131.0,C,15.65,18.05,16.85,77.2463,0.865116,0.013849,-0.254036,0.044014,7,146.47,86,46,24.15
ORCL,2026-08-21,2026-08-28,132.0,C,14.1,16.7,15.4,64.5023,0.888219,0.014538,-0.189429,0.038582,7,146.47,95,188,24.15
ORCL,2026-08-21,2026-08-28,133.0,C,13.15,15.2,14.175,56.1528,0.901234,0.015269,-0.153473,0.035276,7,146.47,81,59,24.15
ORCL,2026-08-21,2026-08-28,134.0,C,12.35,14.9,13.625,62.4027,0.860172,0.01757,-0.212502,0.045109,7,146.47,45,66,24.15
ORCL,2026-08-21,2026-08-28,135.0,C,12.1,13.5,12.8,62.1098,0.841187,0.019219,-0.229123,0.049113,7,146.47,119,329,24.15
ORCL,2026-08-21,2026-08-28,136.0,C,10.6,13.15,11.875,59.8149,0.827761,0.021032,-0.232277,0.05176,7,146.47,76,101,24.15
ORCL,2026-08-21,2026-08-28,137.0,C,9.75,12.3,11.025,58.5942,0.808684,0.022929,-0.242286,0.055277,7,146.47,73,85,24.15
ORCL,2026-08-21,2026-08-28,138.0,C,9.6,11.1,10.35,59.766,0.779254,0.024472,-0.267459,0.060176,7,146.47,78,316,24.15
