symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
PG,2026-07-14,2026-07-24,120.0,C,24.4,28.2,26.3,63.6722,0.973094,0.004037,-0.059579,0.015028,10,146.08,10,10,27.16
PG,2026-07-14,2026-07-24,128.0,C,16.45,20.3,18.375,87.7931,0.838632,0.011526,-0.270065,0.059159,10,146.08,10,4,27.16
PG,2026-07-14,2026-07-24,130.0,C,15.4,18.3,16.85,56.3969,0.904364,0.012456,-0.127492,0.041069,10,146.08,3,77,27.16
PG,2026-07-14,2026-07-24,133.0,C,11.5,15.35,13.425,71.8509,0.804206,0.015909,-0.250454,0.066829,10,146.08,3,3,27.16
PG,2026-07-14,2026-07-24,134.0,C,11.5,13.8,12.65,60.8158,0.820655,0.017804,-0.203249,0.063302,10,146.08,1,1,27.16
PG,2026-07-14,2026-07-24,135.0,C,10.4,12.8,11.6,57.5932,0.812123,0.019352,-0.19838,0.065162,10,146.08,4,1,27.16
PG,2026-07-14,2026-07-24,138.0,C,6.65,9.85,8.25,48.3892,0.777306,0.025484,-0.184946,0.072094,10,146.08,2,10,27.16
PG,2026-07-14,2026-07-24,139.0,C,6.1,9.3,7.7,50.4644,0.741724,0.026492,-0.207266,0.07816,10,146.08,2,8,27.16
PG,2026-07-14,2026-07-24,140.0,C,4.75,8.65,6.7,50.8672,0.711938,0.027743,-0.21952,0.082506,10,146.08,7,10,27.16
PG,2026-07-14,2026-07-24,141.0,C,4.55,7.4,5.975,44.2877,0.703093,0.032316,-0.194957,0.083674,10,146.08,0,3,27.16
PG,2026-07-14,2026-07-24,143.0,C,2.97,5.6,4.285,38.6237,0.648454,0.039725,-0.182276,0.089703,10,146.08,1,18,27.16
PG,2026-07-14,2026-07-24,144.0,C,2.27,4.9,3.585,37.525,0.609597,0.042299,-0.182652,0.092798,10,146.08,1,4,27.16
PG,2026-07-14,2026-07-24,145.0,C,1.08,3.5,2.29,29.0534,0.579038,0.055671,-0.145593,0.094562,10,146.08,4,278,27.16
PG,2026-07-14,2026-07-24,146.0,C,1.21,2.65,1.93,25.8064,0.523091,0.063828,-0.13174,0.0963,10,146.08,90,47,27.16
PG,2026-07-14,2026-07-24,147.0,C,1.5,2.09,1.795,24.8543,0.457237,0.066002,-0.125749,0.095907,10,146.08,43,132,27.16
