symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
TSLA,2026-08-25,2026-09-02,165.0,C,184.25,186.8,185.525,207.4224,0.995437,0.000124,-0.106137,0.00691,8,350.25,245,245,3.27
TSLA,2026-08-25,2026-09-02,170.0,C,178.95,181.8,180.375,181.6407,0.99764,7.8e-05,-0.06052,0.00382,8,350.25,1,1,3.27
TSLA,2026-08-25,2026-09-02,175.0,C,174.25,176.65,175.45,184.7657,0.996278,0.000116,-0.084102,0.005758,8,350.25,14,400,3.27
TSLA,2026-08-25,2026-09-02,230.0,C,119.3,121.9,120.6,126.6605,0.990382,0.000392,-0.128708,0.013358,8,350.25,1,1,3.27
TSLA,2026-08-25,2026-09-02,270.0,C,79.15,81.95,80.55,81.2502,0.987134,0.000787,-0.114266,0.017203,8,350.25,0,1,3.27
TSLA,2026-08-25,2026-09-02,285.0,C,64.5,66.95,65.725,71.8265,0.977225,0.001451,-0.153859,0.028022,8,350.25,0,10,3.27
TSLA,2026-08-25,2026-09-02,290.0,C,59.6,61.95,60.775,67.9691,0.973462,0.001743,-0.163769,0.031858,8,350.25,2,11,3.27
TSLA,2026-08-25,2026-09-02,295.0,C,54.3,56.95,55.625,59.0824,0.978082,0.001708,-0.129294,0.027129,8,350.25,176,27,3.27
TSLA,2026-08-25,2026-09-02,297.5,C,52.1,54.4,53.25,59.6684,0.971362,0.002116,-0.155715,0.033946,8,350.25,1,18,3.27
TSLA,2026-08-25,2026-09-02,300.0,C,49.4,51.75,50.575,52.8325,0.978793,0.001857,-0.116772,0.026384,8,350.25,6,38,3.27
TSLA,2026-08-25,2026-09-02,302.5,C,47.3,49.35,48.325,56.1528,0.96519,0.002642,-0.169391,0.039888,8,350.25,30,20,3.27
TSLA,2026-08-25,2026-09-02,305.0,C,44.6,46.85,45.725,51.563,0.968626,0.002641,-0.147785,0.036615,8,350.25,60,9,3.27
TSLA,2026-08-25,2026-09-02,307.5,C,42.25,44.3,43.275,50.0493,0.964447,0.003016,-0.15684,0.040585,8,350.25,80,5,3.27
TSLA,2026-08-25,2026-09-02,310.0,C,39.9,41.75,40.825,60.8158,0.920713,0.004682,-0.319537,0.076568,8,350.25,60,11,3.27
TSLA,2026-08-25,2026-09-02,312.5,C,37.85,39.15,38.5,56.7387,0.92063,0.005023,-0.3005,0.076629,8,350.25,80,5,3.27
TSLA,2026-08-25,2026-09-02,315.0,C,35.65,36.55,36.1,52.686,0.920633,0.005409,-0.281346,0.076626,8,350.25,141,29,3.27
TSLA,2026-08-25,2026-09-02,317.5,C,33.4,33.85,33.625,47.5591,0.925207,0.005728,-0.247178,0.073246,8,350.25,112,15,3.27
TSLA,2026-08-25,2026-09-02,320.0,C,31.0,31.45,31.225,45.7769,0.916003,0.006497,-0.258181,0.079973,8,350.25,114,44,3.27
TSLA,2026-08-25,2026-09-02,322.5,C,28.65,29.1,28.875,44.3121,0.903785,0.007425,-0.274185,0.088465,8,350.25,100,27,3.27
TSLA,2026-08-25,2026-09-02,325.0,C,26.4,26.8,26.6,43.1036,0.888225,0.00851,-0.294562,0.098627,8,350.25,103,4,3.27
TSLA,2026-08-25,2026-09-02,330.0,C,22.1,22.45,22.275,41.7242,0.843308,0.011093,-0.352245,0.124448,8,350.25,78,37,3.27
TSLA,2026-08-25,2026-09-02,332.5,C,19.8,20.4,20.1,41.297,0.814472,0.012487,-0.384783,0.138657,8,350.25,28,1,3.27
TSLA,2026-08-25,2026-09-02,335.0,C,18.0,18.3,18.15,40.1251,0.786042,0.014004,-0.404995,0.151083,8,350.25,18,52,3.27
