symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
UNH,2026-09-03,2026-09-11,300.0,C,98.75,103.6,101.175,84.5705,0.991475,0.000462,-0.103073,0.013759,8,400.94,1,1,5.49
UNH,2026-09-03,2026-09-11,310.0,C,88.75,93.6,91.175,76.0745,0.990553,0.000562,-0.102908,0.015053,8,400.94,1,2,5.49
UNH,2026-09-03,2026-09-11,320.0,C,78.4,83.6,81.0,56.8364,0.996849,0.000283,-0.052794,0.005677,8,400.94,1,1,5.49
UNH,2026-09-03,2026-09-11,330.0,C,67.85,73.65,70.75,97.7295,0.922751,0.002496,-0.555296,0.085936,8,400.94,29,28,5.49
UNH,2026-09-03,2026-09-11,340.0,C,58.5,63.65,61.075,86.3038,0.913186,0.003086,-0.537181,0.093837,8,400.94,18,18,5.49
UNH,2026-09-03,2026-09-11,345.0,C,53.55,58.55,56.05,79.7365,0.9097,0.00344,-0.512958,0.09663,8,400.94,1,2,5.49
UNH,2026-09-03,2026-09-11,350.0,C,48.3,53.7,51.0,75.3543,0.899924,0.003926,-0.522378,0.104229,8,400.94,1,2,5.49
UNH,2026-09-03,2026-09-11,360.0,C,38.3,43.8,41.05,64.6854,0.88123,0.005172,-0.508308,0.11788,8,400.94,2,8,5.49
UNH,2026-09-03,2026-09-11,370.0,C,28.5,34.0,31.25,54.3584,0.852761,0.007137,-0.495961,0.13669,8,400.94,8,2,5.49
UNH,2026-09-03,2026-09-11,375.0,C,24.3,29.25,26.775,49.8418,0.830072,0.008551,-0.498913,0.150166,8,400.94,44,1,5.49
UNH,2026-09-03,2026-09-11,380.0,C,21.3,22.85,22.075,35.2546,0.857585,0.01076,-0.327396,0.133657,8,400.94,6,21,5.49
UNH,2026-09-03,2026-09-11,382.5,C,19.1,20.55,19.825,33.631,0.838179,0.012279,-0.338157,0.145496,8,400.94,3,4,5.49
UNH,2026-09-03,2026-09-11,385.0,C,17.2,18.85,18.025,35.102,0.794579,0.013653,-0.401175,0.168857,8,400.94,1,43,5.49
UNH,2026-09-03,2026-09-11,387.5,C,14.85,16.9,15.875,34.632,0.760102,0.015119,-0.428829,0.184485,8,400.94,2,11,5.49
UNH,2026-09-03,2026-09-11,390.0,C,12.9,14.8,13.85,33.0817,0.727773,0.016907,-0.435863,0.19707,8,400.94,5,146,5.49
UNH,2026-09-03,2026-09-11,392.5,C,11.15,12.7,11.925,31.2263,0.691834,0.018984,-0.434775,0.208868,8,400.94,2,75,5.49
UNH,2026-09-03,2026-09-11,395.0,C,9.85,10.5,10.175,28.6384,0.652684,0.021728,-0.418176,0.219241,8,400.94,14,163,5.49
UNH,2026-09-03,2026-09-11,397.5,C,8.2,9.0,8.6,28.5835,0.596445,0.022823,-0.434222,0.229849,8,400.94,173,94,5.49
