symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
V,2026-07-09,2026-07-17,200.0,C,119.1,122.5,120.8,0.001,1.0,0.0,-0.020159,0.0,8,348.2,1,1,19.67
V,2026-07-09,2026-07-17,215.0,C,104.25,107.2,105.725,0.001,1.0,0.0,-0.021671,0.0,8,348.2,0,11,19.67
V,2026-07-09,2026-07-17,220.0,C,126.15,129.85,128.0,178.8087,0.96925,0.000753,-0.421066,0.035801,8,348.2,1,5,19.67
V,2026-07-09,2026-07-17,225.0,C,94.3,97.65,95.975,0.001,1.0,0.0,-0.022679,0.0,8,348.2,0,5,19.67
V,2026-07-09,2026-07-17,230.0,C,89.35,92.7,91.025,0.001,1.0,0.0,-0.023183,0.0,8,348.2,0,32,19.67
V,2026-07-09,2026-07-17,235.0,C,84.4,87.75,86.075,0.001,1.0,0.0,-0.023687,0.0,8,348.2,1,1,19.67
V,2026-07-09,2026-07-17,240.0,C,79.6,82.65,81.125,0.001,1.0,0.0,-0.024191,0.0,8,348.2,10,17,19.67
V,2026-07-09,2026-07-17,245.0,C,101.7,104.8,103.25,84.7658,0.997949,0.000148,-0.042332,0.003343,8,348.2,1,6,19.67
V,2026-07-09,2026-07-17,250.0,C,96.2,100.05,98.125,139.7952,0.956204,0.001287,-0.441215,0.047807,8,348.2,1,8,19.67
V,2026-07-09,2026-07-17,255.0,C,64.7,68.0,66.35,0.001,1.0,0.0,-0.025703,0.0,8,348.2,10,13,19.67
V,2026-07-09,2026-07-17,260.0,C,86.45,89.85,88.15,122.9984,0.955393,0.001484,-0.397494,0.048518,8,348.2,2,18,19.67
V,2026-07-09,2026-07-17,265.0,C,81.3,84.95,83.125,118.0668,0.950949,0.001669,-0.411224,0.05236,8,348.2,1,9,19.67
V,2026-07-09,2026-07-17,270.0,C,76.3,80.0,78.15,112.3051,0.947149,0.001862,-0.415228,0.055564,8,348.2,1,8,19.67
V,2026-07-09,2026-07-17,275.0,C,71.3,74.2,72.75,92.8223,0.963432,0.001674,-0.265893,0.041289,8,348.2,4,11,19.67
V,2026-07-09,2026-07-17,280.0,C,66.25,69.95,68.1,98.7549,0.941747,0.002286,-0.396377,0.060001,8,348.2,2,117,19.67
V,2026-07-09,2026-07-17,285.0,C,61.55,64.2,62.875,81.2014,0.958442,0.002123,-0.259738,0.045821,8,348.2,5,64,19.67
V,2026-07-09,2026-07-17,290.0,C,57.45,59.5,58.475,59.2289,0.983776,0.001327,-0.105942,0.020882,8,348.2,2,32,19.67
V,2026-07-09,2026-07-17,295.0,C,52.5,54.5,53.5,55.2739,0.981096,0.00162,-0.111246,0.023793,8,348.2,1,65,19.67
V,2026-07-09,2026-07-17,300.0,C,47.5,49.2,48.35,64.1361,0.947934,0.003222,-0.248431,0.054908,8,348.2,2,176,19.67
V,2026-07-09,2026-07-17,305.0,C,42.5,44.5,43.5,62.4027,0.931725,0.004094,-0.293051,0.067896,8,348.2,1,320,19.67
V,2026-07-09,2026-07-17,307.5,C,40.05,42.05,41.05,60.0346,0.926759,0.004492,-0.297199,0.071661,8,348.2,1,1,19.67
V,2026-07-09,2026-07-17,310.0,C,37.55,39.4,38.475,55.3471,0.929083,0.004753,-0.270498,0.069911,8,348.2,1,498,19.67
V,2026-07-09,2026-07-17,315.0,C,32.6,34.6,33.6,51.6362,0.913017,0.005948,-0.291968,0.081612,8,348.2,1,550,19.67
V,2026-07-09,2026-07-17,317.5,C,30.1,32.15,31.125,49.1338,0.90597,0.006623,-0.294127,0.086472,8,348.2,1,1,19.67
V,2026-07-09,2026-07-17,320.0,C,27.7,29.6,28.65,45.606,0.902611,0.007322,-0.281647,0.088734,8,348.2,8,814,19.67
V,2026-07-09,2026-07-17,322.5,C,25.2,27.2,26.2,43.482,0.891733,0.008294,-0.289018,0.095832,8,348.2,1,24,19.67
V,2026-07-09,2026-07-17,325.0,C,22.8,24.55,23.675,39.0631,0.891614,0.009239,-0.262997,0.095908,8,348.2,1,839,19.67
V,2026-07-09,2026-07-17,327.5,C,20.45,22.2,21.325,37.2321,0.875771,0.010679,-0.274394,0.105659,8,348.2,10,90,19.67
V,2026-07-09,2026-07-17,330.0,C,18.1,19.75,18.925,34.4489,0.863012,0.012349,-0.271727,0.11305,8,348.2,8,1598,19.67
V,2026-07-09,2026-07-17,332.5,C,15.85,17.45,16.65,32.6301,0.840358,0.014444,-0.28318,0.125243,8,348.2,1,172,19.67
V,2026-07-09,2026-07-17,335.0,C,13.65,15.05,14.35,29.8957,0.819521,0.017055,-0.280437,0.135493,8,348.2,136,1959,19.67
V,2026-07-09,2026-07-17,337.5,C,11.55,13.0,12.275,29.0779,0.777953,0.019858,-0.304891,0.153447,8,348.2,8,54,19.67
V,2026-07-09,2026-07-17,340.0,C,9.8,10.8,10.3,26.9172,0.73833,0.023453,-0.307083,0.167762,8,348.2,92,6821,19.67
V,2026-07-09,2026-07-17,342.5,C,8.05,8.9,8.475,25.8552,0.68133,0.026784,-0.320422,0.184026,8,348.2,14,231,19.67
V,2026-07-09,2026-07-17,345.0,C,6.3,7.25,6.775,25.3425,0.612695,0.029311,-0.333457,0.197393,8,348.2,141,2289,19.67
V,2026-07-09,2026-07-17,347.5,C,4.9,5.6,5.25,24.0608,0.538621,0.032013,-0.326182,0.20469,8,348.2,96,182,19.67
V,2026-07-09,2026-07-17,350.0,C,3.65,4.25,3.95,23.3162,0.456708,0.032996,-0.313556,0.204442,8,348.2,1441,3712,19.67
V,2026-07-09,2026-07-17,352.5,C,2.69,3.4,3.045,24.0242,0.380332,0.030753,-0.307828,0.196331,8,348.2,845,888,19.67
V,2026-07-09,2026-07-17,355.0,C,1.91,2.45,2.18,23.3894,0.302257,0.028934,-0.273286,0.179841,8,348.2,263,2237,19.67
V,2026-07-09,2026-07-17,360.0,C,0.97,1.32,1.145,23.6092,0.180641,0.021608,-0.206268,0.135569,8,348.2,229,3107,19.67
V,2026-07-09,2026-07-17,365.0,C,0.41,0.71,0.56,24.2927,0.102084,0.014227,-0.142965,0.09184,8,348.2,66,1425,19.67
V,2026-07-09,2026-07-17,370.0,C,0.23,0.41,0.32,25.5623,0.058863,0.008905,-0.098682,0.060494,8,348.2,79,1398,19.67
V,2026-07-09,2026-07-17,375.0,C,0.04,0.31,0.175,28.1745,0.041153,0.006072,-0.081471,0.045459,8,348.2,5,739,19.67
