symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
XOM,2026-06-22,2026-07-02,80.0,C,57.35,59.6,58.475,100.0005,0.999667,5.3e-05,-0.009449,0.000279,10,138.47,0,1,
XOM,2026-06-22,2026-07-02,85.0,C,52.25,54.4,53.325,183.3985,0.961023,0.002007,-0.185279,0.019339,10,138.47,0,1,
XOM,2026-06-22,2026-07-02,95.0,C,42.5,44.6,43.55,96.0938,0.99295,0.00089,-0.031059,0.004495,10,138.47,0,1,
XOM,2026-06-22,2026-07-02,100.0,C,37.5,39.5,38.5,75.0003,0.99645,0.000619,-0.019171,0.00244,10,138.47,0,1,
XOM,2026-06-22,2026-07-02,105.0,C,32.25,34.5,33.375,118.7504,0.93462,0.00468,-0.182911,0.029193,10,138.47,0,0,
XOM,2026-06-22,2026-07-02,110.0,C,27.3,29.6,28.45,105.6645,0.920621,0.006103,-0.188838,0.033874,10,138.47,0,1,
XOM,2026-06-22,2026-07-02,115.0,C,22.35,24.5,23.425,87.6466,0.913033,0.00788,-0.169277,0.036281,10,138.47,0,1,
XOM,2026-06-22,2026-07-02,120.0,C,17.4,19.7,18.55,76.6116,0.884992,0.011055,-0.180798,0.04449,10,138.47,1,2,
XOM,2026-06-22,2026-07-02,125.0,C,12.7,14.6,13.65,59.1069,0.86548,0.015988,-0.157323,0.049641,10,138.47,1,0,
XOM,2026-06-22,2026-07-02,130.0,C,8.6,10.0,9.3,49.1704,0.796341,0.025113,-0.169592,0.064867,10,138.47,5,3,
XOM,2026-06-22,2026-07-02,131.0,C,7.25,9.0,8.125,45.7037,0.783546,0.028003,-0.163673,0.067231,10,138.47,2,1,
XOM,2026-06-22,2026-07-02,134.0,C,5.3,6.3,5.8,38.5504,0.712927,0.038557,-0.159826,0.078081,10,138.47,1,1,
XOM,2026-06-22,2026-07-02,135.0,C,4.7,5.25,4.975,34.0339,0.690257,0.045211,-0.14666,0.08083,10,138.47,2,104,
XOM,2026-06-22,2026-07-02,136.0,C,4.05,4.75,4.4,35.4743,0.637979,0.046102,-0.160817,0.085911,10,138.47,2,13,
XOM,2026-06-22,2026-07-02,137.0,C,3.4,4.0,3.7,33.6677,0.593856,0.050262,-0.157537,0.088894,10,138.47,17,5,
XOM,2026-06-22,2026-07-02,138.0,C,2.96,3.15,3.055,30.3962,0.544895,0.056901,-0.145381,0.090857,10,138.47,37,111,
XOM,2026-06-22,2026-07-02,139.0,C,2.54,2.63,2.585,30.0544,0.487374,0.057886,-0.143881,0.091391,10,138.47,97,17,
XOM,2026-06-22,2026-07-02,140.0,C,2.09,2.2,2.145,30.0788,0.430315,0.056983,-0.141205,0.090038,10,138.47,38,162,
XOM,2026-06-22,2026-07-02,141.0,C,1.63,1.81,1.72,29.9812,0.374587,0.055164,-0.135293,0.08688,10,138.47,6,48,
XOM,2026-06-22,2026-07-02,142.0,C,1.36,1.47,1.415,29.8591,0.321241,0.052339,-0.12691,0.082096,10,138.47,13,62,
XOM,2026-06-22,2026-07-02,143.0,C,1.06,1.21,1.135,30.1277,0.274128,0.048246,-0.118735,0.076357,10,138.47,56,63,
XOM,2026-06-22,2026-07-02,144.0,C,0.85,0.98,0.915,30.2497,0.230582,0.043859,-0.108538,0.069694,10,138.47,117,505,
XOM,2026-06-22,2026-07-02,145.0,C,0.67,0.79,0.73,30.4206,0.192164,0.039192,-0.097872,0.06263,10,138.47,220,213,
XOM,2026-06-22,2026-07-02,146.0,C,0.52,0.64,0.58,30.7136,0.159537,0.034499,-0.087646,0.055661,10,138.47,17,371,
XOM,2026-06-22,2026-07-02,147.0,C,0.42,0.51,0.465,30.9089,0.130684,0.02997,-0.076983,0.048662,10,138.47,13,82,
XOM,2026-06-22,2026-07-02,148.0,C,0.34,0.42,0.38,31.3972,0.10835,0.025848,-0.068401,0.042632,10,138.47,207,88,
XOM,2026-06-22,2026-07-02,149.0,C,0.25,0.34,0.295,31.7878,0.088907,0.022087,-0.059833,0.036883,10,138.47,115,390,
XOM,2026-06-22,2026-07-02,150.0,C,0.21,0.28,0.245,32.3249,0.073632,0.01884,-0.05271,0.031991,10,138.47,109,572,
XOM,2026-06-22,2026-07-02,152.5,C,0.13,0.24,0.185,35.987,0.057799,0.014025,-0.048494,0.026514,10,138.47,29,582,
XOM,2026-06-22,2026-07-02,155.0,C,0.0,0.39,0.195,45.2642,0.072936,0.013357,-0.072864,0.03176,10,138.47,4,917,
XOM,2026-06-22,2026-07-02,157.5,C,0.01,0.16,0.085,41.6998,0.034643,0.008017,-0.037087,0.017562,10,138.47,1,81,
XOM,2026-06-22,2026-07-02,160.0,C,0.0,0.15,0.075,45.2154,0.030045,0.006574,-0.035708,0.015614,10,138.47,23,1186,
XOM,2026-06-22,2026-07-02,162.5,C,0.0,0.09,0.045,45.2154,0.018431,0.004359,-0.023655,0.010353,10,138.47,0,3,
XOM,2026-06-22,2026-07-02,165.0,C,0.0,0.33,0.165,53.8091,0.027921,0.005197,-0.039903,0.014691,10,138.47,5,1147,
XOM,2026-06-22,2026-07-02,167.5,C,0.0,2.14,1.07,85.5958,0.102859,0.009131,-0.177065,0.041058,10,138.47,0,1,
XOM,2026-06-22,2026-07-02,170.0,C,0.0,0.05,0.025,51.3677,0.009177,0.0021,-0.014679,0.005667,10,138.47,1,505,
XOM,2026-06-22,2026-07-02,175.0,C,0.0,0.11,0.055,58.2035,0.008854,0.001796,-0.016102,0.005492,10,138.47,1,275,
XOM,2026-06-22,2026-07-02,180.0,C,0.0,0.63,0.315,83.3009,0.033915,0.003944,-0.072328,0.017258,10,138.47,3,143,
XOM,2026-06-22,2026-07-02,185.0,C,0.0,0.27,0.135,78.9065,0.015972,0.00221,-0.036355,0.009161,10,138.47,0,1,
XOM,2026-06-22,2026-07-02,105.0,P,0.0,2.13,1.065,119.7758,-0.066825,0.004719,-0.176794,0.029691,10,138.47,0,1,
XOM,2026-06-22,2026-07-02,110.0,P,0.0,1.01,0.505,86.6212,-0.046081,0.004866,-0.095222,0.022144,10,138.47,1,2,
XOM,2026-06-22,2026-07-02,115.0,P,0.0,0.1,0.05,53.5161,-0.015686,0.003208,-0.023909,0.00902,10,138.47,57,212,
XOM,2026-06-22,2026-07-02,120.0,P,0.01,0.11,0.06,43.5553,-0.020884,0.005031,-0.02477,0.011512,10,138.47,87,295,
XOM,2026-06-22,2026-07-02,125.0,P,0.0,0.31,0.155,40.8209,-0.058986,0.012563,-0.054138,0.02694,10,138.47,6,52,
XOM,2026-06-22,2026-07-02,128.0,P,0.18,0.27,0.225,32.2272,-0.064319,0.017026,-0.045527,0.028824,10,138.47,12,667,
XOM,2026-06-22,2026-07-02,129.0,P,0.23,0.31,0.27,30.8601,-0.076051,0.020227,-0.049508,0.03279,10,138.47,34,1,
XOM,2026-06-22,2026-07-02,130.0,P,0.31,0.41,0.36,30.6159,-0.09839,0.024715,-0.05944,0.039749,10,138.47,91,383,
XOM,2026-06-22,2026-07-02,131.0,P,0.41,0.53,0.47,30.2741,-0.124688,0.029616,-0.069509,0.047099,10,138.47,49,20,
XOM,2026-06-22,2026-07-02,132.0,P,0.54,0.67,0.605,29.7859,-0.154889,0.034888,-0.07908,0.054589,10,138.47,42,43,
XOM,2026-06-22,2026-07-02,133.0,P,0.69,0.81,0.75,28.8581,-0.187061,0.040635,-0.086203,0.061601,10,138.47,59,405,
XOM,2026-06-22,2026-07-02,134.0,P,0.91,1.03,0.97,28.5896,-0.23014,0.046355,-0.096215,0.069619,10,138.47,27,122,
XOM,2026-06-22,2026-07-02,135.0,P,1.16,1.31,1.235,28.4919,-0.279912,0.05154,-0.105871,0.077141,10,138.47,27,1042,
XOM,2026-06-22,2026-07-02,136.0,P,1.51,1.74,1.625,29.4929,-0.339524,0.054176,-0.118876,0.083935,10,138.47,21,151,
XOM,2026-06-22,2026-07-02,137.0,P,1.87,2.08,1.975,28.8581,-0.394185,0.058182,-0.121571,0.088201,10,138.47,10,183,
XOM,2026-06-22,2026-07-02,138.0,P,2.26,2.55,2.405,29.029,-0.453918,0.05956,-0.125255,0.090826,10,138.47,123,58,
XOM,2026-06-22,2026-07-02,139.0,P,2.82,3.1,2.96,29.4197,-0.513322,0.059132,-0.126968,0.091385,10,138.47,96,49,
XOM,2026-06-22,2026-07-02,140.0,P,3.35,3.85,3.6,31.3728,-0.566013,0.05472,-0.133195,0.090182,10,138.47,7,730,
XOM,2026-06-22,2026-07-02,141.0,P,3.8,4.3,4.05,29.5417,-0.627492,0.055885,-0.118931,0.086727,10,138.47,24,76,
XOM,2026-06-22,2026-07-02,142.0,P,4.6,5.15,4.875,31.5925,-0.668571,0.050101,-0.121511,0.083147,10,138.47,23,37,
XOM,2026-06-22,2026-07-02,143.0,P,5.25,5.85,5.55,31.4704,-0.716537,0.046947,-0.111553,0.077612,10,138.47,1,28,
XOM,2026-06-22,2026-07-02,144.0,P,5.75,7.4,6.575,41.4068,-0.699299,0.036675,-0.154678,0.079774,10,138.47,1,2,
XOM,2026-06-22,2026-07-02,145.0,P,6.45,7.55,7.0,33.7409,-0.782044,0.038083,-0.10222,0.0675,10,138.47,3,556,
XOM,2026-06-22,2026-07-02,146.0,P,7.4,9.15,8.275,44.6539,-0.747243,0.03123,-0.152233,0.073257,10,138.47,0,1,
XOM,2026-06-22,2026-07-02,147.0,P,8.25,9.6,8.925,40.0397,-0.803349,0.030198,-0.114999,0.063516,10,138.47,1,5,
